true,pred,confidence
3,3,0.957327
8,8,0.999318
8,8,0.997423
0,8,0.969147
6,6,0.999991
6,6,0.995906
1,1,0.997381
6,6,0.570846
3,3,0.773056
1,1,0.619232
0,7,0.38202
9,9,0.989769
5,5,0.99167
7,7,0.999974
9,9,0.918424
8,8,0.727216
5,5,0.99545
7,3,0.455234
8,8,0.993592
6,6,0.999999
7,3,0.601455
0,2,0.999491
4,4,0.829464
9,9,0.999999
5,4,0.819262
2,6,0.548438
4,4,0.857773
0,2,0.791731
9,9,0.96187
6,6,0.999965
6,6,0.987978
5,5,0.977316
4,6,0.542789
5,6,0.830538
9,9,0.999999
2,6,0.487659
4,4,0.981744
1,1,0.995435
9,9,1
5,5,0.999671
4,4,0.983797
6,6,0.999963
5,5,0.955335
6,6,0.999067
0,0,0.839185
9,9,0.996235
3,3,0.810616
9,8,0.481134
7,7,0.977031
6,6,0.985474
9,9,0.934525
8,8,0.732882
0,2,0.980568
3,3,0.717796
8,0,0.508441
8,8,0.999078
7,7,0.993163
7,4,0.396535
4,6,0.955285
6,6,0.993545
7,7,0.998768
3,5,0.873856
6,5,0.575905
3,3,0.954076
6,6,0.995102
2,2,0.905356
1,2,0.740337
2,2,0.664832
3,5,0.879652
7,7,0.998792
2,8,0.721391
6,3,0.966391
8,8,0.98713
8,8,0.999849
0,0,0.934601
2,2,0.999265
9,2,0.747262
3,3,0.829221
3,3,0.804202
8,8,0.999122
8,8,0.998958
1,9,0.525507
1,1,0.996936
7,7,0.906984
2,2,0.961212
5,7,0.790671
2,2,0.718894
7,3,0.831167
8,8,0.999891
9,9,0.999053
0,0,0.995421
3,6,0.809645
8,8,0.999999
6,6,0.999945
4,4,0.979058
6,6,0.990491
6,6,0.999978
0,0,0.61213
0,0,0.998609
7,3,0.591822
4,7,0.567041
5,5,0.566015
6,6,0.99999
3,5,0.800438
1,1,0.999814
1,1,0.999946
3,3,0.994088
6,6,0.999997
8,8,0.997796
7,7,0.986844
4,7,0.780835
0,0,0.881706
6,6,0.602437
2,2,0.732092
1,1,0.844034
3,3,0.981163
0,2,0.710242
4,4,0.999418
2,6,0.946396
7,5,0.971795
8,8,0.994965
3,3,0.94097
1,1,0.780801
2,2,0.764225
8,8,0.995854
0,2,0.956815
8,8,0.968769
3,3,0.987135
5,6,0.855606
2,3,0.843651
4,4,0.999998
1,1,0.990698
8,8,0.997642
9,9,1
1,1,0.583869
2,2,0.580208
9,9,0.981191
7,7,0.631386
2,2,0.550307
9,8,0.608794
6,6,0.899972
5,5,0.990207
6,6,0.999955
3,5,0.960836
8,8,0.994348
7,7,0.987701
6,6,0.998411
2,2,0.510703
5,7,0.447737
2,3,0.921733
8,8,0.992107
9,9,0.958947
6,6,0.999262
0,0,0.769678
0,0,0.97208
5,5,0.863986
2,2,0.827965
9,9,0.888942
5,3,0.638241
4,4,0.999597
2,0,0.848004
1,1,0.9979
6,6,0.782861
6,6,0.747627
8,2,0.490671
4,2,0.846157
8,8,0.898412
4,4,0.612408
5,5,0.948025
0,7,0.633868
9,9,0.999999
9,3,0.518342
9,4,0.282993
8,8,0.994281
9,9,0.996919
9,9,1
3,4,0.394525
7,7,0.951017
5,3,0.349136
0,0,0.998296
0,4,0.736422
5,5,0.99541
2,2,0.998408
2,6,0.734644
3,5,0.845397
8,8,0.999764
6,6,0.999235
3,3,0.782301
4,3,0.960848
0,0,0.904498
5,5,0.521286
8,8,0.998829
0,0,0.70652
1,1,0.854593
7,7,0.997018
2,2,0.910306
8,8,0.999996
8,8,0.647039
7,5,0.549738
8,8,0.995978
5,3,0.774742
1,1,0.855228
8,8,0.99979
7,7,0.9768
1,1,0.963834
3,3,0.815423
0,8,0.915842
5,5,0.962681
7,7,0.994367
9,9,0.990069
7,3,0.554664
4,8,0.728889
5,5,0.922068
9,7,0.717353
8,8,0.509993
0,2,0.479438
7,7,0.999543
9,9,0.999812
8,8,0.990342
2,2,0.923185
7,4,0.999428
6,5,0.650015
9,9,0.999938
4,5,0.916063
3,4,0.649689
9,9,0.645544
6,6,0.798156
4,6,0.61186
7,6,0.680255
6,6,0.844173
5,5,0.998123
1,1,0.999787
5,3,0.924412
8,8,0.992972
8,8,0.846494
0,0,0.999995
4,4,0.995647
0,7,0.536347
5,5,0.692204
5,5,0.731489
1,1,1
1,1,0.876735
8,8,0.984471
9,9,0.858557
0,0,0.996306
3,2,0.942345
1,1,0.998554
9,8,0.986021
2,2,0.995472
2,6,0.484681
5,5,0.997591
3,3,0.934753
9,9,0.827897
9,3,0.367157
4,2,0.895194
0,8,0.872003
3,3,0.449633
0,0,0.997491
0,8,0.979334
9,3,0.765463
8,8,0.997211
1,1,0.998265
5,5,0.612164
7,3,0.987912
0,8,0.999958
8,8,0.999935
2,5,0.685683
4,4,0.999319
7,7,0.999581
0,2,0.874922
2,2,0.437739
3,4,0.381303
6,6,0.99999
3,3,0.997548
8,8,1
5,2,0.665197
0,0,0.936599
3,2,0.995736
4,4,0.953015
3,3,0.702864
9,9,0.902195
0,0,0.997972
6,6,0.828611
1,1,0.999993
0,0,0.701113
9,9,0.989473
1,1,0.999746
0,8,0.73799
7,7,0.999971
9,8,0.631148
1,1,0.999999
2,2,0.989543
6,6,0.999661
9,9,0.55143
3,3,0.999922
4,2,0.737644
6,6,1
0,0,0.998764
0,2,0.88559
6,6,0.999549
6,6,0.999997
6,4,0.469214
3,3,0.650524
2,2,0.979131
6,6,0.985993
1,8,0.978051
8,8,0.964754
2,6,0.751561
1,9,0.557654
6,2,0.344875
8,8,0.999295
6,6,1
8,8,0.883618
0,0,0.461793
4,4,0.901548
0,0,0.542945
7,7,0.709976
7,4,0.720247
5,5,0.996797
5,5,0.973416
3,2,0.397515
5,3,0.965601
2,2,0.838432
3,2,0.645652
4,5,0.755383
1,6,0.50549
7,3,0.475172
5,5,0.935158
4,3,0.503114
6,6,0.999994
1,1,0.964886
9,9,1
3,6,0.819753
6,6,0.999431
6,6,0.999961
9,9,0.999563
3,3,0.989372
8,8,0.937515
0,0,0.987933
7,7,0.998622
2,4,0.928436
6,6,0.995974
2,2,0.755077
5,5,0.635312
8,0,0.513773
5,5,0.885421
4,4,0.955146
6,6,0.96595
8,8,0.999034
9,9,0.587343
9,9,1
1,1,0.984636
0,0,0.792165
2,2,0.999997
2,2,0.412669
7,4,0.738502
3,3,0.517488
2,2,0.975689
8,8,0.999146
0,0,0.99309
9,9,0.982795
5,5,0.997419
8,8,0.999939
1,8,0.833959
9,9,0.999996
4,3,0.780613
1,8,0.94841
3,3,0.841026
8,4,0.471165
1,1,0.988737
4,2,0.459728
7,7,0.999994
9,9,0.999999
4,3,0.834458
2,2,1
7,2,0.976488
0,8,0.710647
7,2,0.754402
0,3,0.545004
6,6,0.999987
6,6,0.99982
9,9,0.982931
0,0,0.994552
9,0,0.491665
2,5,0.71276
8,2,0.841482
7,7,0.99341
2,2,0.580837
2,5,0.846037
5,5,0.981162
1,1,0.999932
2,2,0.999891
6,6,0.999767
2,5,0.504207
9,9,0.925434
6,6,0.985667
2,2,0.526368
3,3,0.758077
0,0,0.873165
3,9,0.368181
9,9,0.996515
8,1,0.778239
7,7,0.892495
8,8,0.542638
8,8,0.999846
4,4,0.700466
0,0,0.667163
1,1,0.512537
8,8,0.999956
2,3,0.843446
7,7,0.988039
9,8,0.9181
3,3,0.826503
6,6,0.999993
1,9,0.846421
9,9,0.999907
0,3,0.607761
7,7,0.881216
3,2,0.611048
7,7,0.965177
4,4,0.92597
5,5,0.847164
0,8,0.999082
0,3,0.921068
2,2,0.986815
9,9,0.999553
3,6,0.649119
4,3,0.514758
0,2,0.840461
6,6,0.999538
2,3,0.847879
5,5,0.782989
3,3,0.961256
7,4,0.441638
3,9,0.625631
7,7,0.979089
2,3,0.374425
5,6,0.807856
3,3,0.992195
1,9,0.590738
1,9,0.965345
4,7,0.449437
9,9,0.99974
9,9,0.648423
5,5,0.970662
7,4,0.572296
5,5,0.590433
0,0,0.92397
2,2,0.938489
2,2,0.75771
2,2,0.90769
9,9,0.992197
7,7,0.987475
3,3,0.714263
9,9,0.997587
4,2,0.88396
3,4,0.841919
5,7,0.638809
4,6,0.833149
6,6,0.696544
5,5,0.513259
6,6,0.928755
1,8,0.763058
4,2,0.831259
3,7,0.487764
4,4,0.997023
4,4,0.999662
3,3,0.988981
7,7,0.966164
8,8,0.994752
3,4,0.840168
7,7,0.99383
8,8,1
0,8,0.530058
5,5,0.67855
7,7,0.456875
6,6,0.850464
0,1,0.38416
5,6,0.941556
4,4,0.558043
8,0,0.568864
6,6,0.999998
8,8,0.998133
5,5,0.484883
