true,pred,confidence
3,3,0.847666
8,8,0.51693
8,8,0.98582
0,0,0.852553
6,6,0.999172
6,6,0.945968
1,9,0.997452
6,2,0.932969
3,3,0.934479
1,1,0.999926
0,0,0.914223
9,9,0.999918
5,5,0.848339
7,7,0.999938
9,8,0.554809
8,6,0.997151
5,5,0.911392
7,7,0.849567
8,8,0.99622
6,6,1
7,7,0.999856
0,0,0.981208
4,4,0.518079
9,9,0.999998
5,3,0.601222
2,7,0.744488
4,4,0.876461
0,0,0.9848
9,9,0.916056
6,6,0.999999
6,6,0.957779
5,5,0.992929
4,4,0.920031
5,4,0.621653
9,9,0.999992
2,3,0.978387
4,4,0.917095
1,1,0.656791
9,9,1
5,5,0.999767
4,0,0.85052
6,6,0.99513
5,5,0.6541
6,6,0.98126
0,8,0.849163
9,9,0.999045
3,3,0.793559
9,7,0.354486
7,7,0.828848
6,6,0.553812
9,9,0.99937
8,8,0.683466
0,5,0.857032
3,3,0.990695
8,8,0.995025
8,8,0.959767
7,7,0.986864
7,3,0.471992
4,5,0.941586
6,6,0.988901
7,7,1
3,3,0.846099
6,6,0.426176
3,3,0.561677
6,6,0.997418
2,2,0.868894
1,1,0.865647
2,0,0.929099
3,4,0.737974
7,7,0.828077
2,2,0.944827
6,3,0.980435
8,8,0.999999
8,8,0.999923
0,3,0.423889
2,2,0.999987
9,9,0.732377
3,8,0.878695
3,3,0.944434
8,8,1
8,8,0.993083
1,1,0.997306
1,1,0.999754
7,7,0.799277
2,2,0.999655
5,7,0.882536
2,0,0.811715
7,7,0.850419
8,9,0.839197
9,9,0.732477
0,0,0.910493
3,3,0.576068
8,8,0.999671
6,6,0.999516
4,4,0.708559
6,6,0.961621
6,6,0.998016
0,0,0.755123
0,0,0.922702
7,3,0.645991
4,7,0.567434
5,5,0.956016
6,6,1
3,3,0.65932
1,1,1
1,1,1
3,3,0.459222
6,6,0.999992
8,8,0.580466
7,7,0.99068
4,7,0.533674
0,0,0.992935
6,6,0.993238
2,2,0.897572
1,0,0.515207
3,3,0.853474
0,0,0.955857
4,7,0.983763
2,5,0.555021
7,7,0.996134
8,8,0.997258
3,3,0.888126
1,2,0.889228
2,2,0.995815
8,8,0.974095
0,2,0.887375
8,8,0.919777
3,3,0.977251
5,0,0.566315
2,0,0.955848
4,4,0.999176
1,1,0.999984
8,8,0.902599
9,9,0.999305
1,1,0.961647
2,4,0.449219
9,9,0.999963
7,7,1
2,2,0.948881
9,8,0.999751
6,3,0.584288
5,5,0.998251
6,6,0.999969
3,5,0.96508
8,1,0.381572
7,3,0.377575
6,6,0.996721
2,5,0.947995
5,5,0.922047
2,3,0.874615
8,8,0.493693
9,9,0.985623
6,6,0.953244
0,0,0.999953
0,8,0.479421
5,5,0.844163
2,2,0.620996
9,9,0.937657
5,3,0.622157
4,4,0.999945
2,2,0.450638
1,1,0.997175
6,6,0.55451
6,6,0.97091
8,3,0.485818
4,7,0.379396
8,8,0.936124
4,4,0.718464
5,9,0.968978
0,0,0.530773
9,9,0.999293
9,6,0.999321
9,9,0.953605
8,8,0.999274
9,9,0.999999
9,9,0.999563
3,3,0.999117
7,7,0.535571
5,5,0.502073
0,9,0.896339
0,0,0.805939
5,5,0.998526
2,2,0.975712
2,3,0.676105
3,0,0.538818
8,8,0.999964
6,6,0.974973
3,3,0.796373
4,3,0.502534
0,8,0.794286
5,5,0.704055
8,8,0.986952
0,0,0.968661
1,1,0.996866
7,7,0.998827
2,3,0.815297
8,8,0.999892
8,8,0.998754
7,7,0.688325
8,8,0.989895
5,5,0.504374
1,8,0.421543
8,8,1
7,7,0.999999
1,1,0.995274
3,3,0.721089
0,0,0.877531
5,5,0.984623
7,7,0.999934
9,9,0.999684
7,6,0.708938
4,7,0.780739
5,5,0.944094
9,7,0.999747
8,8,0.99638
0,0,0.997356
7,7,0.998443
9,9,0.999976
8,8,0.977942
2,2,0.999336
7,7,0.870081
6,5,0.478635
9,9,1
4,5,0.349249
3,3,0.840307
9,1,0.662835
6,6,0.932787
4,4,0.828215
7,5,0.350926
6,2,0.612191
5,5,0.999862
1,9,0.820852
5,3,0.972355
8,8,0.963668
8,8,0.996744
0,0,0.999996
4,4,0.985284
0,7,0.928418
5,5,0.999758
5,5,0.542885
1,1,1
1,1,0.996361
8,1,0.70205
9,9,0.999992
0,0,0.997592
3,6,0.494944
1,1,0.997685
9,8,0.978191
2,2,0.898667
2,0,0.675172
5,5,0.991108
3,3,0.857396
9,9,0.999998
9,9,0.503889
4,2,0.359932
0,0,0.988358
3,3,0.999208
0,0,0.999993
0,8,0.995722
9,9,0.91721
8,8,0.99997
1,1,0.944454
5,1,0.37102
7,3,0.761135
0,9,0.994511
8,8,0.67228
2,8,0.988367
4,4,0.99905
7,7,0.995526
0,0,0.627988
2,4,0.412608
3,3,0.712349
6,6,0.999288
3,3,0.998858
8,8,0.999969
5,3,0.772846
0,0,0.998662
3,2,0.999415
4,4,0.962
3,7,0.684678
9,9,0.951481
0,0,0.999999
6,6,0.987015
1,1,0.999823
0,9,0.931884
9,9,0.973059
1,1,0.995809
0,8,0.877874
7,7,0.999982
9,9,0.999219
1,1,0.999992
2,2,0.969958
6,6,0.99883
9,1,0.86234
3,5,0.632947
4,2,0.566364
6,6,0.999994
0,0,0.998423
0,0,0.846776
6,6,0.999996
6,6,0.999834
6,6,0.96974
3,3,0.605301
2,9,0.899505
6,6,0.957769
1,1,0.986569
8,9,0.960902
2,2,0.957967
1,9,0.66944
6,2,0.542605
8,1,0.969165
6,6,1
8,8,0.937373
0,5,0.632041
4,5,0.821455
0,0,0.992354
7,2,0.416045
7,7,0.995611
5,5,0.831481
5,3,0.959542
3,3,0.848134
5,3,0.804131
2,2,0.981109
3,6,0.593008
4,7,0.834414
1,5,0.691304
7,7,0.931705
5,5,0.998057
4,4,0.994837
6,6,1
1,1,0.997124
9,9,0.999876
3,3,0.734009
6,6,0.999916
6,6,0.999999
9,9,0.998294
3,3,0.991235
8,8,0.638429
0,0,0.998173
7,4,0.611185
2,4,0.9643
6,6,0.991707
2,0,0.318866
5,5,0.50131
8,4,0.992928
5,5,0.997079
4,4,0.89321
6,6,0.997108
8,6,0.446691
9,1,0.861569
9,9,0.999994
1,1,0.978041
0,8,0.999246
2,2,0.918871
2,6,0.665247
7,4,0.935454
3,5,0.65959
2,2,0.753089
8,8,0.999965
0,0,0.999549
9,9,0.899643
5,5,0.848996
8,8,1
1,1,0.969095
9,9,0.99997
4,4,0.94901
1,9,0.860412
3,3,0.819903
8,0,0.69534
1,1,0.999986
4,4,0.452612
7,7,0.999996
9,9,0.999996
4,4,0.500371
2,2,0.999985
7,7,0.901178
0,8,0.897301
7,4,0.758958
0,2,0.500422
6,6,0.995974
6,6,0.99996
9,9,0.978297
0,0,1
9,9,0.639036
2,5,0.999153
8,8,0.67536
7,7,0.996727
2,2,0.908961
2,5,0.712023
5,5,0.889535
1,1,0.999994
2,2,0.999325
6,6,0.999994
2,5,0.896831
9,3,0.984364
6,6,0.849616
2,2,0.888066
3,3,0.995112
0,0,0.98574
3,1,0.834041
9,9,0.999999
8,1,0.958167
7,7,0.99874
8,0,0.565546
8,8,0.999048
4,4,0.668981
0,0,0.79815
1,0,0.655563
8,8,0.999949
2,2,0.552007
7,7,0.977953
9,9,0.987444
3,3,0.970412
6,6,1
1,1,0.998768
9,9,0.999939
0,0,0.920757
7,7,0.989434
3,2,0.795763
7,7,0.999738
4,4,0.975609
5,5,0.919352
0,0,0.555832
0,3,0.650104
2,2,0.915713
9,9,0.962545
3,3,0.936521
4,3,0.356684
0,6,0.874019
6,6,0.999899
2,3,0.783926
5,5,0.937955
3,3,0.776617
7,7,0.610521
3,7,0.818324
7,7,0.981974
2,2,0.799093
5,5,0.752378
3,3,0.665973
1,9,0.730665
1,9,0.740062
4,2,0.644528
9,9,0.997707
9,9,0.739393
5,5,0.952718
7,2,0.465982
5,4,0.44373
0,0,0.99402
2,2,0.992187
2,0,0.985306
2,9,0.720462
9,9,0.987
7,3,0.763028
3,3,0.424458
9,9,0.98291
4,7,0.999808
3,6,0.616462
5,4,0.586214
4,3,0.387223
6,8,0.431608
5,3,0.694062
6,3,0.699571
