true,pred,confidence
3,3,0.842037
8,8,0.989872
8,8,0.552444
0,0,0.972355
6,6,0.999354
6,6,0.966291
1,0,0.509857
6,6,0.700278
3,3,0.834576
1,9,0.600184
0,5,0.847135
9,9,0.999977
5,5,0.939969
7,7,0.999887
9,9,0.990844
8,6,0.985016
5,5,0.808772
7,7,0.919569
8,9,0.737388
6,6,0.999979
7,4,0.597734
0,2,0.892655
4,2,0.830088
9,9,0.999766
5,4,0.811807
2,7,0.681044
4,2,0.739398
0,2,0.80641
9,9,0.776105
6,6,0.999959
6,6,0.944699
5,5,0.692636
4,4,0.714375
5,5,0.696334
9,9,0.998701
2,8,0.526378
4,4,0.735503
1,8,0.696656
9,9,0.945763
5,5,0.976794
4,4,0.696893
6,6,0.996629
5,5,0.736674
6,6,0.998633
0,0,0.954906
9,9,0.999023
3,3,0.880467
9,7,0.663358
7,7,0.991369
6,6,0.479079
9,9,0.999233
8,2,0.770872
0,2,0.82559
3,3,0.851398
8,8,0.999343
8,8,0.993204
7,7,0.94807
7,6,0.358905
4,3,0.369989
6,4,0.650022
7,7,0.99892
3,5,0.695845
6,4,0.671628
3,0,0.52326
6,6,0.913787
2,2,0.532237
1,1,0.598064
2,0,0.611699
3,5,0.522586
7,7,0.943767
2,2,0.778818
6,3,0.702199
8,8,0.999988
8,8,0.998686
0,0,0.956863
2,2,0.999891
9,0,0.553105
3,3,0.824498
3,3,0.608104
8,8,0.999497
8,8,0.992112
1,1,0.670415
1,1,0.995331
7,7,0.913928
2,2,0.356075
5,7,0.666529
2,4,0.898321
7,7,0.627274
8,8,0.991758
9,1,0.882163
0,0,0.929997
3,2,0.6585
8,8,0.999953
6,6,0.997658
4,7,0.673142
6,6,0.971875
6,6,0.999974
0,0,0.667206
0,0,0.996808
7,5,0.852115
4,4,0.86237
5,7,0.970271
6,6,0.999973
3,6,0.520862
1,1,0.999994
1,1,0.999967
3,2,0.781259
6,6,0.992303
8,8,0.999806
7,7,0.999945
4,4,0.475297
0,0,0.812832
6,2,0.756126
2,2,0.943856
1,9,0.883386
3,3,0.636163
0,0,0.948209
4,7,0.846418
2,2,0.552043
7,7,0.995389
8,8,0.618806
3,3,0.83221
1,2,0.586636
2,2,0.988387
8,8,0.974147
0,2,0.861478
8,9,0.467431
3,4,0.297323
5,5,0.466702
2,2,0.675433
4,4,0.999809
1,1,0.991463
8,8,0.999541
9,9,1
1,1,0.674612
2,2,0.453473
9,7,0.775321
7,7,0.996839
2,2,0.917341
9,8,0.989573
6,6,0.985482
5,5,0.712703
6,6,0.999959
3,5,0.759062
8,8,0.867406
7,3,0.463728
6,6,0.994217
2,5,0.610144
5,5,0.776964
2,3,0.61847
8,8,0.956241
9,9,0.985576
6,6,0.850373
0,0,0.990787
0,0,0.926053
5,5,0.756487
2,2,0.910323
9,9,0.691752
5,3,0.523477
4,4,0.891623
2,2,0.961126
1,1,0.999181
6,6,0.774032
6,6,0.839629
8,2,0.555672
4,7,0.793003
8,9,0.570198
4,4,0.950091
5,5,0.994659
0,8,0.431955
9,9,0.999975
9,0,0.90182
9,9,0.896395
8,8,0.999366
9,9,0.999284
9,9,0.993861
3,3,0.999554
7,7,0.772964
5,2,0.677893
0,0,0.865488
0,2,0.522748
5,5,0.963433
2,2,0.999799
2,2,0.5281
3,0,0.514989
8,8,0.998917
6,6,0.780056
3,2,0.704461
4,3,0.510851
0,8,0.927484
5,4,0.546282
8,8,0.999581
0,4,0.903224
1,1,0.979072
7,7,0.999673
2,4,0.381781
8,8,0.633139
8,8,0.996457
7,7,0.919862
8,8,0.992677
5,5,0.931071
1,0,0.546964
8,8,0.999884
7,7,0.999942
1,1,0.991086
3,3,0.722027
0,0,0.66656
5,4,0.485568
7,7,0.999999
9,9,0.995251
7,7,0.397761
4,7,0.700056
5,5,0.987778
9,7,0.914324
8,8,0.999461
0,0,0.658458
7,7,0.999999
9,9,0.999993
8,8,0.903439
2,2,0.946288
7,4,0.704567
6,3,0.401435
9,9,0.999999
4,4,0.720891
3,5,0.574745
9,2,0.472392
6,2,0.599031
4,4,0.995964
7,7,0.583203
6,2,0.542673
5,5,0.994643
1,1,0.999976
5,5,0.922391
8,8,0.921277
8,8,0.969819
0,0,0.999993
4,4,0.97913
0,9,0.946398
5,3,0.660204
5,5,0.849118
1,1,1
1,1,0.724432
8,1,0.978129
9,9,0.853335
0,0,0.740716
3,6,0.58916
1,1,0.991735
9,8,0.993049
2,2,0.999831
2,2,0.707854
5,5,0.65552
3,3,0.499193
9,9,0.999987
9,1,0.711596
4,7,0.860827
0,0,0.890183
3,3,0.693631
0,0,0.999865
0,8,0.971524
9,1,0.980826
8,8,0.999134
1,9,0.9537
5,7,0.468078
7,7,0.539439
0,0,0.868559
8,8,0.978341
2,8,0.482306
4,4,0.999899
7,7,0.999877
0,2,0.544412
2,2,0.619371
3,4,0.896906
6,6,0.767808
3,3,0.915325
8,8,0.998578
5,2,0.852332
0,0,0.999081
3,2,0.906585
4,7,0.660211
3,5,0.40782
9,9,0.727219
0,0,0.985576
6,6,0.856281
1,1,0.569041
0,9,0.913965
9,9,0.999597
1,1,0.994415
0,8,0.685426
7,7,0.999956
9,9,0.998945
1,1,0.999912
2,2,0.990598
6,6,0.999885
9,1,0.949394
3,3,0.633813
4,4,0.892867
6,6,0.999998
0,0,0.999997
0,0,0.994369
6,6,0.999988
6,6,0.999922
6,6,0.791315
3,5,0.452649
2,5,0.718912
6,6,0.870013
1,8,0.85793
8,8,0.989072
2,2,0.973295
1,9,0.68527
6,4,0.670628
8,9,0.694425
6,6,1
8,8,0.721283
0,0,0.609594
4,4,0.936506
0,0,0.711626
7,7,0.80182
7,7,0.922828
5,5,0.984891
5,5,0.840619
3,3,0.608034
5,3,0.911291
2,2,0.875367
3,2,0.464177
4,4,0.500271
1,5,0.417825
7,4,0.994453
5,5,0.823257
4,4,0.825419
6,6,0.999954
1,1,0.999985
9,9,0.994999
3,3,0.668414
6,6,0.995331
6,6,0.998986
9,9,0.955397
3,3,0.896956
8,8,0.970844
0,0,0.911635
7,7,0.827038
2,2,0.667446
6,6,0.999876
2,2,0.775637
5,5,0.951691
8,8,0.612619
5,5,0.847518
4,4,0.988614
6,6,0.705533
8,8,0.999901
9,9,0.913784
9,9,0.99984
1,1,0.993818
0,8,0.963548
2,2,0.999882
2,6,0.727582
7,5,0.840929
3,5,0.396707
2,2,0.876789
8,8,0.997469
0,0,0.997846
9,9,0.998514
5,5,0.986903
8,8,0.999995
1,1,0.76438
9,9,0.999884
4,4,0.542377
1,1,0.991758
3,2,0.546598
8,2,0.636658
1,1,0.995465
4,4,0.936924
7,7,0.999176
9,9,0.99957
4,4,0.759401
2,2,0.99894
7,5,0.546779
0,2,0.55515
7,7,0.88348
0,2,0.595586
6,6,0.999713
6,6,0.99996
9,9,0.930564
0,0,0.999927
9,1,0.870685
2,5,0.825898
8,0,0.630427
7,7,0.999948
2,2,0.978138
2,5,0.754488
5,5,0.739221
1,1,0.999669
2,2,0.848716
6,6,0.999963
2,5,0.366361
9,9,0.960924
6,6,0.725951
2,2,0.673925
3,3,0.652634
0,0,0.830818
3,9,0.683839
9,9,0.999561
8,8,0.999383
7,7,0.936783
8,8,0.954481
8,8,0.899786
4,4,0.975347
0,0,0.946863
1,1,0.988049
8,8,0.99908
2,2,0.992932
7,7,0.822466
9,8,0.841083
3,3,0.835805
6,6,0.999979
1,1,0.976397
9,9,0.999977
0,3,0.490338
7,7,0.952056
3,2,0.887551
7,7,0.905156
4,4,0.931638
5,5,0.951027
0,8,0.944866
0,3,0.755765
2,2,0.502193
9,9,0.999628
3,5,0.701607
4,3,0.665249
0,6,0.984537
6,6,0.999863
2,2,0.349492
5,5,0.672592
3,3,0.933505
