true,pred,confidence
3,3,0.997633
8,8,0.6829
8,1,0.64534
0,8,0.871013
6,6,0.988879
6,6,0.921647
1,3,0.3337
6,2,0.614724
3,3,0.976764
1,1,0.768019
0,7,0.765852
9,9,0.999998
5,4,0.944993
7,7,0.999966
9,9,0.999417
8,6,0.859561
5,5,0.897401
7,7,0.91148
8,8,0.999998
6,6,0.999715
7,2,0.47336
0,0,0.998298
4,4,0.848766
9,9,0.99991
5,4,0.579201
2,3,0.781044
4,4,0.746916
0,0,0.99303
9,9,0.999889
6,6,0.999894
6,6,0.849658
5,5,0.986006
4,4,0.518514
5,5,0.471947
9,9,0.99983
2,3,0.896509
4,7,0.874441
1,1,0.904646
9,9,1
5,5,0.999197
4,4,0.998405
6,6,0.999471
5,7,0.532826
6,6,0.999839
0,1,0.430241
9,9,0.999969
3,3,0.857397
9,8,0.627402
7,7,0.999486
6,6,0.80829
9,9,0.99966
8,8,0.755764
0,5,0.290218
3,3,0.858798
8,8,0.999377
8,8,0.99836
7,7,0.962199
7,5,0.826928
4,5,0.80806
6,6,0.601493
7,7,0.999992
3,5,0.711534
6,6,0.997116
3,3,0.900853
6,6,0.917851
2,2,0.635935
1,8,0.55856
2,8,0.709236
3,3,0.748806
7,7,0.812077
2,8,0.460245
6,3,0.966403
8,8,0.999845
8,8,0.994088
0,0,0.915594
2,2,0.544886
9,0,0.6315
3,3,0.966303
3,5,0.524938
8,8,0.999946
8,8,0.973612
1,9,0.960658
1,1,0.999991
7,7,0.997518
2,2,0.522243
5,7,0.992105
2,4,0.926405
7,3,0.790986
8,8,0.994903
9,9,0.999963
0,0,0.937103
3,3,0.950896
8,8,0.974779
6,6,0.999972
4,4,0.66585
6,6,0.7106
6,6,0.999537
0,0,0.838793
0,0,0.967053
7,3,0.810541
4,5,0.548593
5,7,0.93904
6,6,0.99996
3,3,0.996094
1,1,1
1,1,0.999969
3,3,0.309218
6,6,0.999995
8,8,0.991287
7,7,0.999331
4,4,0.852237
0,0,0.999456
6,6,0.916425
2,2,0.962454
1,1,0.635766
3,3,0.942528
0,0,0.969169
4,4,0.758176
2,2,0.72926
7,3,0.814871
8,8,0.880593
3,3,0.995831
1,1,0.972546
2,2,0.999024
8,8,0.998718
0,2,0.958662
8,8,0.735379
3,3,0.921766
5,6,0.552511
2,2,0.514279
4,4,0.987861
1,1,0.999983
8,8,0.962097
9,9,1
1,1,0.865375
2,3,0.512078
9,9,0.952948
7,7,0.966568
2,2,0.929317
9,8,0.968259
6,6,0.572333
5,5,0.958478
6,6,0.964803
3,5,0.8196
8,8,0.967218
7,7,0.64084
6,6,0.999507
2,6,0.387612
5,5,0.856825
2,3,0.387651
8,8,0.995731
9,9,0.999534
6,6,0.942915
0,7,0.974737
0,0,0.958642
5,5,0.714727
2,2,0.897919
9,9,0.998956
5,3,0.516499
4,4,0.999722
2,2,0.981939
1,1,0.983851
6,3,0.739395
6,6,0.949578
8,1,0.354345
4,7,0.602199
8,8,0.947402
4,6,0.580824
5,7,0.92243
0,0,0.864135
9,9,0.999994
9,9,0.392568
9,9,0.738242
8,8,0.5507
9,9,0.815549
9,9,0.997973
3,3,0.977913
7,7,0.956237
5,3,0.89457
0,0,0.8522
0,3,0.643812
5,5,0.908173
2,2,0.996674
2,6,0.734508
3,5,0.380815
8,8,0.999973
6,6,0.978601
3,3,0.977847
4,3,0.991324
0,0,0.267018
5,3,0.452247
8,8,0.993266
0,0,0.666274
1,1,0.99937
7,7,0.999984
2,3,0.61471
8,8,0.954129
8,8,0.990274
7,5,0.875775
8,8,0.999951
5,5,0.567773
1,1,0.971995
8,8,0.999997
7,7,0.739586
1,1,0.999946
3,3,0.745111
0,8,0.882358
5,5,0.955356
7,7,0.999958
9,9,0.987225
7,7,0.994673
4,4,0.983966
5,0,0.412538
9,7,0.98099
8,8,0.993684
0,0,0.932043
7,7,0.999961
9,9,0.981062
8,8,0.556242
2,2,0.884253
7,7,0.964677
6,3,0.51181
9,9,0.999935
4,5,0.87663
3,3,0.888237
9,9,0.88044
6,6,0.944649
4,4,0.990048
7,5,0.435189
6,6,0.982486
5,5,0.999866
1,1,0.99951
5,5,0.991922
8,8,0.994844
8,8,0.960345
0,0,0.999974
4,4,0.986167
0,2,0.79377
5,3,0.946279
5,5,0.974484
1,1,1
1,1,0.996193
8,1,0.657033
9,9,0.957583
0,0,0.999133
3,6,0.956407
1,1,0.999142
9,9,0.49067
2,2,0.999688
2,2,0.833261
5,5,0.745911
3,3,0.953885
9,9,0.994343
9,9,0.729005
4,3,0.551423
0,0,0.979706
3,3,0.991511
0,0,1
0,8,0.997316
9,1,0.983534
8,8,0.995462
1,1,0.396998
5,9,0.585033
7,3,0.947606
0,8,0.98407
8,8,0.999826
2,8,0.83663
4,4,0.999996
7,7,0.999854
0,3,0.654313
2,2,0.604436
3,4,0.546945
6,6,0.999948
3,3,0.994843
8,8,0.999975
5,3,0.634877
0,0,0.99946
3,2,0.928327
4,7,0.924412
3,3,0.723062
9,9,0.967085
0,0,0.924381
6,6,0.605526
1,1,0.976513
0,9,0.895292
9,9,0.998289
1,1,0.999917
0,8,0.676241
7,7,0.999908
9,9,0.974924
1,1,0.999917
2,2,0.970994
6,6,0.99996
9,9,0.988079
3,3,0.822478
4,2,0.502735
6,6,1
0,0,0.880393
0,0,0.997601
6,6,0.999991
6,6,0.998682
6,6,0.933015
3,3,0.327256
2,3,0.555156
6,6,0.687763
1,1,0.998537
8,8,0.994672
2,2,0.984037
1,9,0.91154
6,2,0.557837
8,8,0.920186
6,6,0.999996
8,0,0.876734
0,5,0.407016
4,4,0.424078
0,0,0.929564
7,7,0.865963
7,7,0.729702
5,5,0.958651
5,5,0.988088
3,3,0.580949
5,3,0.730743
2,2,0.682331
3,2,0.410212
4,7,0.801862
1,1,0.99562
7,7,0.970525
5,7,0.789641
4,4,0.999966
6,6,0.999925
1,1,0.986626
9,9,0.999022
3,3,0.90312
6,6,0.995579
6,6,0.998888
9,9,0.565276
3,3,0.874331
8,8,0.993529
0,0,0.990629
7,7,0.999624
2,4,0.934356
6,1,0.894604
2,2,0.872352
5,5,0.647436
8,8,0.986111
5,5,0.99511
4,4,0.987914
6,6,0.971159
8,8,0.999987
9,9,0.999471
9,9,1
1,1,0.993377
0,8,0.930477
2,0,0.889432
2,3,0.571235
7,7,0.956997
3,5,0.893934
2,2,0.963604
8,8,0.996543
0,0,0.997475
9,9,0.990231
5,5,0.999117
8,8,0.999539
1,8,0.930768
9,9,0.999999
4,4,0.999139
1,1,0.947062
3,3,0.970677
8,2,0.37497
1,1,0.999934
4,4,0.550776
7,7,0.533637
9,9,0.999713
4,4,0.474808
2,2,0.999989
7,7,0.531288
0,4,0.47324
7,3,0.357671
0,6,0.482466
6,6,0.999998
6,6,0.999913
9,9,0.999898
0,0,0.999358
9,1,0.79905
2,5,0.822401
8,8,0.647459
7,7,0.99997
2,2,0.998497
2,5,0.572423
5,5,0.994303
1,1,0.999936
2,2,0.959405
6,6,0.999881
2,7,0.556115
9,9,0.886141
6,6,0.984826
2,2,0.802109
3,3,0.578138
0,0,0.615702
3,9,0.793221
9,9,0.99651
8,8,0.693021
7,7,0.99976
8,8,0.948304
8,8,0.999998
4,6,0.939111
0,0,0.999806
1,8,0.529258
8,8,0.999538
2,2,0.941282
7,5,0.693399
9,8,0.999056
3,3,0.573493
6,6,0.999998
1,1,0.797887
9,9,0.999435
0,0,0.721757
7,7,0.999151
3,5,0.391063
7,7,0.988545
4,4,0.999696
5,5,0.867119
0,8,0.990609
0,3,0.95409
2,2,0.822487
9,9,0.99984
3,3,0.493018
4,7,0.708398
0,6,0.998903
6,6,0.999507
2,4,0.932358
5,5,0.490827
3,3,0.998596
7,4,0.626845
3,5,0.579893
7,7,0.988563
2,2,0.597509
5,2,0.644361
3,3,0.950363
1,6,0.986811
1,1,0.991503
4,4,0.510633
9,9,0.999987
9,9,0.677758
5,5,0.987105
7,7,0.9984
5,5,0.463064
0,0,0.985389
2,2,0.876325
2,2,0.774042
2,3,0.939385
9,9,0.999961
7,3,0.786242
3,3,0.382059
9,9,0.630615
4,4,0.934885
3,4,0.953302
5,7,0.914124
4,3,0.708477
6,3,0.394592
5,5,0.854856
6,6,0.933461
1,8,0.542444
4,4,0.49981
3,3,0.431361
4,4,0.992012
4,7,0.712519
3,3,0.980676
7,7,0.998438
8,8,0.921028
3,3,0.637469
7,7,0.545514
8,8,1
0,8,0.937654
5,5,0.986748
7,7,0.995616
6,4,0.761553
0,8,0.958853
5,2,0.504627
4,4,0.954769
8,8,0.966484
6,6,0.999421
8,8,0.998519
5,3,0.698885
5,9,0.497988
9,4,0.462249
9,9,0.999574
9,9,0.999999
5,3,0.312756
0,0,0.617687
1,1,0.998651
0,0,0.997412
8,8,0.974198
1,1,0.9997
1,1,0.994979
8,8,0.999917
0,0,0.998309
2,5,0.642007
2,2,0.992333
0,0,0.984309
4,4,0.875959
6,6,0.999543
5,3,0.967262
4,4,0.71449
9,9,0.998993
4,4,0.999999
7,7,0.998617
9,9,0.521992
9,2,0.824816
4,4,0.961592
5,5,0.534415
6,6,0.999964
6,6,1
1,1,0.99997
5,5,0.993978
3,6,0.448737
8,8,0.997154
9,9,0.99741
5,7,0.725836
8,8,0.998432
5,5,0.95961
7,7,0.999999
0,0,0.52564
7,7,0.999959
0,0,0.999276
5,3,0.566643
0,0,0.286637
0,0,0.999905
4,8,0.628404
6,6,0.998618
9,9,0.994838
0,4,0.73809
9,9,0.705397
5,5,0.876167
6,6,0.999954
6,6,0.996812
6,6,0.999262
2,2,0.545706
9,8,0.907999
0,0,0.908362
1,1,0.980848
7,7,0.7515
6,6,0.926563
7,7,0.999988
5,5,0.997359
9,9,0.737253
1,1,0.999989
6,6,0.99379
2,6,0.852407
5,5,0.957178
5,5,0.704763
5,3,0.962778
8,8,0.940894
5,3,0.810874
9,9,0.999256
4,4,0.94239
6,2,0.679154
4,4,0.647113
3,3,0.964348
2,2,0.999904
0,0,0.999961
7,7,0.999981
6,6,0.933577
2,6,0.446545
2,2,0.905196
3,5,0.790836
9,9,0.83082
7,3,0.707603
9,9,0.887813
2,4,0.709684
6,6,0.528906
7,7,1
1,1,0.792771
3,5,0.570717
6,6,0.998131
6,6,0.612712
8,8,0.999998
9,9,0.787277
7,7,0.999982
5,5,0.943339
4,4,0.830009
0,0,0.994408
8,8,0.998726
4,4,0.986542
0,0,0.998211
9,9,0.759483
3,3,0.92062
4,4,0.552939
8,8,1
9,9,0.999992
6,6,0.997414
9,9,0.998927
2,2,0.996061
6,6,0.626349
1,1,0.988397
4,4,0.983364
7,7,0.999999
3,7,0.433905
5,6,0.392843
3,3,0.967575
8,8,0.999936
5,5,0.620629
0,0,0.610593
2,2,0.999844
1,1,0.99997
6,6,0.999997
4,4,0.957207
3,3,0.668283
3,3,0.974605
9,9,1
6,6,0.76432
9,0,0.577348
8,8,0.999277
8,8,0.475746
5,5,0.822891
8,8,0.959499
6,6,0.999209
6,4,0.571409
2,0,0.51285
1,1,0.999939
7,7,0.999973
7,7,0.964382
1,1,0.940177
2,2,0.99525
7,7,0.999811
9,1,0.816528
9,9,0.999963
4,4,0.909148
4,4,0.951567
1,8,0.840448
2,8,0.980163
5,3,0.462412
6,6,0.994323
8,8,0.943332
7,7,0.968618
6,6,0.953216
8,1,0.599574
3,3,0.605895
0,0,0.971835
5,5,0.925299
5,5,0.98269
3,3,0.812183
0,0,0.969331
7,7,0.999997
9,9,0.996769
1,1,0.999941
3,3,0.902274
4,4,0.882314
4,4,0.990712
5,5,0.972007
3,3,0.989031
9,9,0.80615
5,5,0.651498
6,6,0.91023
9,9,0.678254
2,4,0.783678
1,1,0.731639
1,1,0.971279
4,4,0.684527
1,1,0.993863
9,9,0.999371
4,4,0.82154
7,7,0.999997
6,6,0.833354
3,3,0.860796
8,8,0.544841
9,9,0.999749
0,0,0.999207
1,1,0.960106
3,5,0.61064
6,6,0.99989
3,7,0.998785
6,2,0.811243
3,3,0.997246
2,2,0.808822
0,8,0.899517
3,6,0.693151
1,9,0.988241
0,6,0.754824
5,3,0.800698
9,1,0.927184
6,6,0.998977
4,4,0.884206
8,0,0.995786
9,7,0.528334
6,2,0.709705
9,9,0.985245
6,3,0.562822
3,3,0.703749
0,6,0.881349
3,4,0.892537
2,2,0.993481
2,2,0.997972
7,7,0.999892
8,8,0.999668
3,3,0.989428
8,8,0.888386
2,2,0.736159
7,7,0.999724
5,4,0.711817
7,7,0.999775
2,0,0.758368
4,4,0.350059
8,8,0.860028
7,7,0.942789
4,4,0.70545
2,2,0.511706
9,0,0.370893
8,8,0.964094
8,8,0.999402
6,6,0.998066
8,9,0.402095
8,8,0.999982
7,7,0.993918
4,4,0.993769
3,3,0.828687
3,3,0.690765
8,8,0.90642
4,4,0.772119
9,8,0.592369
4,4,0.758308
8,8,0.999181
8,8,0.998392
1,1,0.999792
8,8,0.999973
2,8,0.941689
1,1,0.99994
3,6,0.704566
6,6,0.9857
5,3,0.749275
4,7,0.523532
2,1,0.939415
7,7,0.998434
9,9,0.508193
9,8,0.803865
4,4,0.548897
1,8,0.695276
4,4,0.863011
1,1,0.999991
3,7,0.998771
2,5,0.948542
7,7,0.999961
0,7,0.898165
7,7,0.998887
9,2,0.331958
7,7,0.931104
6,4,0.60992
6,6,0.999977
2,2,0.853189
5,3,0.963421
9,9,0.995308
2,0,0.790713
9,9,0.96814
1,1,0.999974
2,2,0.972722
2,2,0.572157
6,6,0.993572
8,8,0.998595
2,2,0.990728
1,1,0.961764
3,3,0.80519
6,6,0.267483
6,6,0.989363
0,0,0.949098
1,1,0.997674
2,2,0.998604
7,7,0.73346
0,0,0.707013
5,2,0.630351
4,4,0.996936
6,3,0.41067
1,1,0.851586
6,6,0.999977
4,3,0.676198
0,0,0.973531
2,2,0.567482
2,3,0.385213
6,6,0.998682
0,0,0.999309
5,6,0.796938
9,9,0.999998
1,1,0.934175
7,7,0.997245
6,3,0.568435
7,7,0.999953
0,0,0.983238
3,3,0.872051
9,9,0.559509
6,6,0.8631
8,8,0.999997
3,4,0.693415
0,0,1
3,7,0.507992
4,7,0.597248
7,2,0.69139
7,7,0.998987
1,6,0.790358
4,4,0.908176
7,7,0.478262
2,2,0.86044
7,7,1
1,1,1
4,4,0.943077
7,7,0.984222
4,4,0.557948
4,4,0.503579
8,8,0.958752
4,6,0.975826
7,0,0.80404
7,7,0.987014
5,5,0.893466
3,5,0.621583
7,7,0.998917
2,2,0.675495
0,0,0.965841
8,8,0.999963
9,9,0.738773
5,4,0.702005
8,1,0.804629
3,3,0.777253
6,6,0.47992
2,7,0.945881
0,0,0.993027
8,8,0.994596
7,7,0.853329
3,7,0.987397
7,7,0.984589
6,6,0.999994
5,4,0.759418
3,3,0.654999
1,0,0.99865
3,3,0.877805
2,2,0.99976
2,2,0.999252
5,5,0.877688
4,6,0.667414
1,1,0.899525
2,2,0.990579
9,9,0.983142
2,2,0.999521
7,7,0.999998
0,8,0.626375
7,7,1
2,2,0.959
1,1,0.999753
3,2,0.812246
2,6,0.66168
0,0,0.635158
2,2,0.902231
4,4,0.975441
7,3,0.737494
9,9,0.553103
8,8,0.999876
9,1,0.996036
0,0,0.969861
7,7,0.941748
7,7,0.996163
0,0,0.815661
7,7,0.603561
8,8,0.982962
4,4,0.919645
6,6,0.995792
3,6,0.967258
3,3,0.675765
0,0,0.999897
1,1,0.999947
3,1,0.851439
7,7,0.9996
0,0,0.999739
1,1,0.973998
3,3,0.966938
1,1,1
4,4,0.900497
2,2,0.995728
3,3,0.991932
8,8,0.511222
4,4,0.98467
2,5,0.984161
3,3,0.961142
7,7,0.986837
8,8,0.999957
4,4,0.688423
3,7,0.892686
0,8,0.889318
9,9,0.998924
0,1,0.473248
0,0,0.992876
1,8,0.989977
0,8,0.850999
4,6,0.996845
4,5,0.710066
6,6,0.99891
7,7,0.666184
6,3,0.989502
1,1,0.999997
1,1,0.585068
3,3,0.987864
7,7,0.999747
3,5,0.794252
5,3,0.923397
2,2,0.531493
6,6,0.624318
6,6,0.999997
5,5,0.764243
8,8,0.946778
7,7,0.998863
1,1,0.999984
6,6,0.998348
8,8,0.947085
8,8,1
5,7,0.863962
3,3,0.993711
0,3,0.518266
4,4,0.97983
0,0,0.960382
1,1,0.999972
3,4,0.527828
8,8,0.968116
8,8,0.979883
0,2,0.95671
6,6,0.996008
9,9,0.999662
9,6,0.650487
9,9,0.949593
5,5,0.650851
5,3,0.741182
8,8,0.736705
6,6,0.976629
0,0,0.937623
0,0,0.731256
4,4,0.999506
2,2,0.989942
3,3,0.602626
2,5,0.930197
7,7,1
2,3,0.441836
2,3,0.470759
5,5,0.863487
9,9,0.953306
8,6,0.543401
9,9,0.992294
1,7,0.987922
7,7,0.699305
4,6,0.665552
0,0,0.997994
3,3,0.667814
0,0,0.99967
1,1,0.999999
3,2,0.479966
8,8,0.999972
3,3,0.426433
9,9,0.999996
6,6,0.897199
1,1,0.56523
4,7,0.77952
7,7,0.999954
0,8,0.923635
3,3,0.768357
7,7,0.999999
8,8,0.991513
9,9,0.993668
1,1,0.595506
1,1,0.999053
6,6,0.982189
6,3,0.501241
6,3,0.720553
6,6,0.981951
9,9,0.946595
1,1,0.999865
9,9,0.995324
9,9,0.999946
4,4,0.544286
2,2,0.494689
1,1,0.999028
7,7,0.729583
0,0,0.999985
6,6,0.920024
8,8,0.998878
1,1,0.691774
9,9,0.974088
2,3,0.317248
9,9,0.825317
0,5,0.949516
4,4,0.965343
7,7,0.999997
8,8,0.999243
3,5,0.775668
1,1,0.999997
2,2,0.952362
0,0,0.996221
1,1,0.999953
5,2,0.59428
8,8,0.999965
4,4,0.600289
6,6,0.84887
3,3,0.720732
8,8,0.991205
1,9,0.88548
3,3,0.997449
8,8,0.999996
5,5,0.990518
0,0,0.99855
8,8,0.86271
4,4,0.999661
8,8,0.985312
1,1,0.996535
1,1,0.999501
8,8,0.986585
9,7,0.661871
6,8,0.992656
0,0,0.999203
8,8,0.999351
6,6,0.999608
1,1,1
3,3,0.672783
4,4,0.498823
1,1,0.93032
6,6,0.999996
0,0,0.95787
5,0,0.535056
1,1,0.999992
1,1,0.995885
0,0,0.983822
0,0,0.77975
3,3,0.929408
5,5,0.98545
0,0,0.834316
0,0,0.99078
6,6,0.999387
6,6,1
3,3,0.999854
3,3,0.990904
6,2,0.991883
3,3,0.853802
6,6,0.727267
6,4,0.891802
0,0,0.822647
7,7,0.967079
2,2,0.999833
2,2,0.998822
7,7,0.779061
5,5,0.825083
5,5,0.413534
2,0,0.511254
8,8,0.999915
5,5,0.65466
2,2,0.999574
1,8,0.948843
1,9,0.923157
4,4,0.521096
3,7,0.816298
2,2,0.999979
0,0,0.876051
3,5,0.698821
1,1,0.999668
5,2,0.721812
3,3,0.680917
7,7,0.716309
6,3,0.928304
8,8,0.96747
9,9,0.999397
1,9,0.562657
6,6,0.975398
4,4,0.999802
9,4,0.561815
3,9,0.96147
9,9,0.985805
0,4,0.669394
9,9,0.999997
6,6,0.999973
3,3,0.734596
6,6,0.999981
0,8,0.999793
7,7,1
3,3,0.84861
8,4,0.431531
0,8,0.63711
0,0,0.999944
0,0,0.999879
6,6,0.503239
6,6,0.997894
6,6,0.999868
9,9,0.980286
2,2,0.995745
5,5,0.717753
4,6,0.669437
4,4,0.98643
6,6,0.966602
3,3,0.898482
6,6,0.99928
0,8,0.708696
8,8,0.999185
6,3,0.548122
0,0,0.552976
