true,pred,confidence
3,3,1
8,8,0.999999
8,8,0.999994
0,0,0.999999
6,6,1
6,6,1
1,5,0.883446
6,2,0.917375
3,3,0.999515
1,1,0.999966
0,4,0.912839
9,9,1
5,4,0.85884
7,7,1
9,9,1
8,6,1
5,3,0.987169
7,9,0.99901
8,8,1
6,6,1
7,4,0.999863
0,2,0.614562
4,4,0.999801
9,9,1
5,4,1
2,4,0.999995
4,4,1
0,0,0.999599
9,9,0.999982
6,6,0.999993
6,6,0.86236
5,5,0.999999
4,4,0.999968
5,3,0.999968
9,9,1
2,8,0.986356
4,4,1
1,1,1
9,9,1
5,5,1
4,8,0.885509
6,6,1
5,2,0.554322
6,6,1
0,0,1
9,9,1
3,3,0.999357
9,7,0.999476
7,7,0.998944
6,2,0.609799
9,9,1
8,8,0.999453
0,6,0.999995
3,6,0.716085
8,8,1
8,8,0.999983
7,7,0.977664
7,3,0.999741
4,3,0.988686
6,4,0.927177
7,7,1
3,5,0.863843
6,6,1
3,2,0.976938
6,6,0.999998
2,2,0.995233
1,1,0.90765
2,0,1
3,5,0.977399
7,7,0.999979
2,2,0.74566
6,6,0.977339
8,8,1
8,8,1
0,0,0.908572
2,2,1
9,0,0.999735
3,3,0.999995
3,3,0.996622
8,8,1
8,8,1
1,1,1
1,1,1
7,7,0.9993
2,2,0.999908
5,7,0.999999
2,4,0.992794
7,0,0.826464
8,9,0.99908
9,9,1
0,0,0.999995
3,3,0.822765
8,8,1
6,6,1
4,4,0.999995
6,6,1
6,6,0.999999
0,0,0.943821
0,0,1
7,2,0.967934
4,4,0.999936
5,5,0.999547
6,6,1
3,6,0.664355
1,1,1
1,1,1
3,0,0.943955
6,6,1
8,3,0.980989
7,5,1
4,4,0.998843
0,0,0.984344
6,2,0.979977
2,2,0.999998
1,1,0.999159
3,4,0.964109
0,0,0.97729
4,7,0.993161
2,2,0.974923
7,5,0.999981
8,8,0.992775
3,2,0.474081
1,2,0.535621
2,2,1
8,8,0.996154
0,2,0.998794
8,0,0.994546
3,3,1
5,2,0.999735
2,0,0.991289
4,4,0.999441
1,1,1
8,9,1
9,9,1
1,1,0.727677
2,2,0.770005
9,9,1
7,5,1
2,4,0.99996
9,8,0.999736
6,4,0.994268
5,5,1
6,6,0.999999
3,5,1
8,8,1
7,3,0.982273
6,6,0.99986
2,2,0.992654
5,5,0.992797
2,5,0.961876
8,1,0.677091
9,9,0.896731
6,6,0.999742
0,0,1
0,0,0.999786
5,5,1
2,3,0.959595
9,9,1
5,3,0.999989
4,4,1
2,0,0.743784
1,1,0.8424
6,6,0.98653
6,4,0.970145
8,2,0.998641
4,4,0.880987
8,8,0.999578
4,4,0.780746
5,9,1
0,8,0.909159
9,6,0.754907
9,6,1
9,4,0.964805
8,8,1
9,9,1
9,9,1
3,4,0.999116
7,7,0.982834
5,5,0.996754
0,9,0.522137
0,3,0.633052
5,5,1
2,2,1
2,6,0.59126
3,5,1
8,8,1
6,6,1
3,2,0.92853
4,3,1
0,0,1
5,4,0.60543
8,8,1
0,0,0.889373
1,1,1
7,7,1
2,5,0.707661
8,8,0.977367
8,8,0.999869
7,2,0.999992
8,8,1
5,3,0.665064
1,0,0.999933
8,8,1
7,7,1
1,1,1
3,3,0.984872
0,8,1
5,5,1
7,7,1
9,9,0.99962
7,7,0.999884
4,9,0.999985
5,5,0.999987
9,7,0.976783
8,0,0.920643
0,0,1
7,7,0.987307
9,9,1
8,0,0.850623
2,7,0.999771
7,7,0.948305
6,3,0.999502
9,9,1
4,5,0.998817
3,7,0.99992
9,9,1
6,6,0.90848
4,2,0.933657
7,4,0.97934
6,6,0.875153
5,5,1
1,1,0.99958
5,5,0.999587
8,8,0.999067
8,8,0.999999
0,0,1
4,4,0.999956
0,0,0.730767
5,5,0.752042
5,3,1
1,1,1
1,9,0.758765
8,1,0.96478
9,9,1
0,0,1
3,8,0.66581
1,1,0.999992
9,8,1
2,2,1
2,1,0.997946
5,4,0.999966
3,3,1
9,9,1
9,9,0.988863
4,4,0.963915
0,0,0.90542
3,6,0.99983
0,0,1
0,8,0.999999
9,1,0.999999
8,8,1
1,1,1
5,3,0.846441
7,3,1
0,0,0.966426
8,8,0.999997
2,3,0.894977
4,4,1
7,7,1
0,2,0.939597
2,3,0.883503
3,4,0.996742
6,6,1
3,3,0.999998
8,8,1
5,2,0.99973
0,0,1
3,2,0.7828
4,4,0.754955
3,5,0.999995
9,8,0.99827
0,0,0.994327
6,6,0.999791
1,1,1
0,9,0.999915
9,9,1
1,1,1
0,8,0.998689
7,7,1
9,9,0.998474
1,1,1
2,2,1
6,6,1
9,1,0.999998
3,3,0.999989
4,4,0.868519
6,6,1
0,0,1
0,0,1
6,6,1
6,6,1
6,6,0.998361
3,3,0.98826
2,1,0.637027
6,6,0.999997
1,0,0.894143
8,0,0.969703
2,2,1
1,1,0.999699
6,4,0.967562
8,8,0.99998
6,6,1
8,0,0.972599
0,2,0.952653
4,5,0.970296
0,0,1
7,7,0.954058
7,7,0.786205
5,5,0.999997
5,5,0.999964
3,3,0.971775
5,5,0.867771
2,2,0.938638
3,2,0.993451
4,5,0.687668
1,1,1
7,4,0.992527
5,5,1
4,4,1
6,6,1
1,1,1
9,9,1
3,2,0.453462
6,6,1
6,6,1
9,9,0.999999
