true,pred,confidence
3,3,0.8420375
8,8,0.98987216
8,8,0.5524445
0,0,0.97235537
6,6,0.99935406
6,6,0.9662909
1,0,0.5098569
6,6,0.70027775
3,3,0.8345756
1,9,0.6001857
0,5,0.84713495
9,9,0.99997747
5,5,0.93996906
7,7,0.99988675
9,9,0.9908442
8,6,0.9850162
5,5,0.80877185
7,7,0.9195695
8,9,0.7373881
6,6,0.99997914
7,4,0.5977328
0,2,0.89265466
4,2,0.8300876
9,9,0.9997663
5,4,0.81180793
2,7,0.6810436
4,2,0.73939764
0,2,0.8064103
9,9,0.77610326
6,6,0.9999591
6,6,0.9446987
5,5,0.6926358
4,4,0.71437585
5,5,0.6963334
9,9,0.9987006
2,8,0.5263785
4,4,0.7355025
1,8,0.69665754
9,9,0.94576275
5,5,0.9767939
4,4,0.69689244
6,6,0.99662894
5,5,0.7366737
6,6,0.99863297
0,0,0.95490634
9,9,0.9990232
3,3,0.88046664
9,7,0.663359
7,7,0.99136883
6,6,0.47907954
9,9,0.99923265
8,2,0.77087164
0,2,0.8255893
3,3,0.85139805
8,8,0.9993424
8,8,0.993204
7,7,0.94806993
7,6,0.3589043
4,3,0.36998925
6,4,0.6500221
7,7,0.99891984
3,5,0.69584596
6,4,0.67162734
3,0,0.5232602
6,6,0.9137868
2,2,0.5322369
1,1,0.5980633
2,0,0.611699
3,5,0.52258676
7,7,0.9437673
2,2,0.7788178
6,3,0.7021987
8,8,0.9999881
8,8,0.9986859
0,0,0.95686316
2,2,0.9998913
9,0,0.55310535
3,3,0.82449746
3,3,0.60810393
8,8,0.9994972
8,8,0.99211156
1,1,0.6704139
1,1,0.9953307
7,7,0.9139286
2,2,0.35607508
5,7,0.6665292
2,4,0.8983209
7,7,0.6272725
8,8,0.99175817
9,1,0.88216317
0,0,0.92999685
3,2,0.6584993
8,8,0.9999528
6,6,0.9976579
4,7,0.6731419
6,6,0.97187525
6,6,0.99997437
0,0,0.66720563
0,0,0.9968076
7,5,0.8521153
4,4,0.86236954
5,7,0.970271
6,6,0.99997306
3,6,0.5208619
1,1,0.99999404
1,1,0.9999671
3,2,0.78125876
6,6,0.99230313
8,8,0.99980575
7,7,0.99994457
4,4,0.47529727
0,0,0.81283325
6,2,0.75612587
2,2,0.9438557
1,9,0.8833865
3,3,0.6361643
0,0,0.9482084
4,7,0.84641755
2,2,0.55204326
7,7,0.9953885
8,8,0.6188062
3,3,0.83221
1,2,0.58663553
2,2,0.9883868
8,8,0.9741468
0,2,0.8614775
8,9,0.46743098
3,4,0.29732174
5,5,0.46670294
2,2,0.6754337
4,4,0.9998087
1,1,0.99146336
8,8,0.9995408
9,9,0.99999964
1,1,0.6746135
2,2,0.45347387
9,7,0.77532166
7,7,0.9968393
2,2,0.91734165
9,8,0.9895726
6,6,0.98548156
5,5,0.712701
6,6,0.999959
3,5,0.7590621
8,8,0.8674044
7,3,0.46372756
6,6,0.99421704
2,5,0.6101455
5,5,0.77696514
2,3,0.6184695
8,8,0.9562409
9,9,0.98557645
6,6,0.85037273
0,0,0.99078745
0,0,0.92605317
5,5,0.7564869
2,2,0.9103229
9,9,0.691752
5,3,0.52347726
4,4,0.8916232
2,2,0.96112627
1,1,0.99918073
6,6,0.7740318
6,6,0.8396294
8,2,0.5556713
4,7,0.7930022
8,9,0.5701976
4,4,0.9500909
5,5,0.9946589
0,8,0.43195418
9,9,0.9999746
9,0,0.9018205
9,9,0.8963946
8,8,0.99936646
9,9,0.9992843
9,9,0.9938612
3,3,0.9995535
7,7,0.7729635
5,2,0.677893
0,0,0.86548805
0,2,0.5227464
5,5,0.96343255
2,2,0.99979895
2,2,0.528101
3,0,0.5149899
8,8,0.998917
6,6,0.7800562
3,2,0.7044618
4,3,0.51085067
0,8,0.92748445
5,4,0.5462811
8,8,0.9995808
0,4,0.9032238
1,1,0.9790717
7,7,0.99967337
2,4,0.38178045
8,8,0.63313955
8,8,0.99645704
7,7,0.9198621
8,8,0.99267673
5,5,0.9310713
1,0,0.5469649
8,8,0.99988353
7,7,0.9999416
1,1,0.99108595
3,3,0.72202647
0,0,0.66656065
5,4,0.48556712
7,7,0.99999905
9,9,0.9952506
7,7,0.39776158
4,7,0.7000567
5,5,0.9877781
9,7,0.91432416
8,8,0.9994609
0,0,0.65845805
7,7,0.99999905
9,9,0.99999285
8,8,0.90343934
2,2,0.94628847
7,4,0.7045668
6,3,0.40143538
9,9,0.99999917
4,4,0.7208923
3,5,0.574745
9,2,0.47239107
6,2,0.59903026
4,4,0.99596405
7,7,0.5832026
6,2,0.54267234
5,5,0.99464333
1,1,0.9999764
5,5,0.9223906
8,8,0.92127675
8,8,0.9698192
0,0,0.99999344
4,4,0.97912985
0,9,0.946398
5,3,0.6602038
5,5,0.8491188
1,1,1.0
1,1,0.7244316
