true,pred,confidence
3,3,1.0
8,8,0.9999988
8,8,0.99999356
0,0,0.9999994
6,6,1.0
6,6,1.0
1,5,0.8843601
6,2,0.91745245
3,3,0.9995104
1,1,0.9999664
0,4,0.9128947
9,9,1.0
5,4,0.86013097
7,7,1.0
9,9,1.0
8,6,0.9999999
5,3,0.9874106
7,9,0.9989839
8,8,1.0
6,6,1.0
7,4,0.9998672
0,2,0.61035365
4,4,0.9997992
9,9,1.0
5,4,1.0
2,4,0.99999464
4,4,1.0
0,0,0.99960846
9,9,0.9999814
6,6,0.9999926
6,6,0.86167175
5,5,0.9999994
4,4,0.99996865
5,3,0.99996793
9,9,1.0
2,8,0.9860488
4,4,0.99999964
1,1,1.0
9,9,1.0
5,5,1.0
4,8,0.87921834
6,6,0.99999976
5,2,0.5503754
6,6,1.0
0,0,1.0
9,9,1.0
3,3,0.9993567
9,7,0.9994642
7,7,0.998922
6,2,0.6106196
9,9,0.9999999
8,8,0.9994517
0,6,0.9999945
3,6,0.7126423
8,8,1.0
8,8,0.9999833
7,7,0.97752666
7,3,0.9997335
4,3,0.988431
6,4,0.9284417
7,7,1.0
3,5,0.8654428
6,6,1.0
3,2,0.97763306
6,6,0.9999982
2,2,0.9952427
1,1,0.9090504
2,0,1.0
3,5,0.97697085
7,7,0.99997866
2,2,0.7457012
6,6,0.97694504
8,8,1.0
8,8,1.0
0,0,0.9096899
2,2,1.0
9,0,0.99974865
3,3,0.99999547
3,3,0.99659926
8,8,1.0
8,8,0.99999964
1,1,1.0
1,1,1.0
7,7,0.9993069
2,2,0.99990785
5,7,0.9999993
2,4,0.9928114
7,0,0.8281314
8,9,0.99908566
9,9,1.0
0,0,0.9999951
3,3,0.8219964
8,8,1.0
6,6,1.0
4,4,0.99999523
6,6,1.0
6,6,0.9999987
0,0,0.9440001
0,0,1.0
7,2,0.96784925
4,4,0.99993646
5,5,0.9995573
6,6,1.0
3,6,0.66139233
1,1,1.0
1,1,1.0
3,0,0.94499904
6,6,1.0
8,3,0.9816242
7,5,1.0
4,4,0.9988587
0,0,0.9846164
6,2,0.979992
2,2,0.99999774
1,1,0.9991561
3,4,0.9645455
0,0,0.9776585
4,7,0.99302554
2,2,0.97492063
7,5,0.99998164
8,8,0.9926636
3,2,0.47279432
1,2,0.531921
2,2,1.0
8,8,0.9961009
0,2,0.998787
8,0,0.99468166
3,3,1.0
5,2,0.9997322
2,0,0.9913982
4,4,0.999456
1,1,1.0
8,9,1.0
9,9,1.0
1,1,0.7278996
2,2,0.7697307
9,9,1.0
7,5,1.0
2,4,0.99996114
9,8,0.9997328
6,4,0.9943252
5,5,1.0
6,6,0.99999905
3,5,1.0
8,8,1.0
7,3,0.9821646
6,6,0.9998579
2,2,0.9925982
5,5,0.99285346
2,5,0.96215963
8,1,0.6857033
9,9,0.8945171
6,6,0.99974054
0,0,1.0
0,0,0.9997869
5,5,1.0
2,3,0.95941067
9,9,1.0
5,3,0.9999893
4,4,1.0
2,0,0.74401414
1,1,0.8496446
6,6,0.9860675
6,4,0.97071195
8,2,0.9986375
4,4,0.88095254
8,8,0.9995752
4,4,0.7819035
5,9,1.0
0,8,0.90470064
9,6,0.7521307
9,6,1.0
9,4,0.96529514
8,8,1.0
9,9,0.9999999
9,9,1.0
3,4,0.9991418
7,7,0.98259926
5,5,0.99674207
0,9,0.5208274
0,3,0.63261485
5,5,1.0
2,2,1.0
2,6,0.5895811
3,5,0.9999995
8,8,1.0
6,6,1.0
3,2,0.92884815
4,3,1.0
0,0,1.0
5,4,0.60758007
8,8,0.9999999
0,0,0.89201933
1,1,1.0
7,7,0.99999976
2,5,0.7055936
8,8,0.97730803
8,8,0.99986744
7,2,0.9999918
8,8,1.0
5,3,0.66364
1,0,0.99993515
8,8,0.99999976
7,7,1.0
1,1,1.0
3,3,0.984792
0,8,1.0
5,5,1.0
7,7,1.0
9,9,0.9996147
7,7,0.9998847
4,9,0.999985
5,5,0.9999869
9,7,0.9774254
8,0,0.9218133
0,0,1.0
7,7,0.9872279
9,9,1.0
8,0,0.85003155
2,7,0.99976903
7,7,0.9473183
6,3,0.9994992
9,9,1.0
4,5,0.99881387
3,7,0.9999193
9,9,1.0
6,6,0.9084629
4,2,0.93382597
7,4,0.979521
6,6,0.87504953
5,5,1.0
1,1,0.9995927
5,5,0.99959546
8,8,0.9990742
8,8,0.9999987
0,0,1.0
4,4,0.99995697
0,0,0.73152006
5,5,0.7524811
5,3,1.0
1,1,1.0
1,9,0.7526049
8,1,0.9648747
9,9,0.9999999
0,0,1.0
3,8,0.66116446
1,1,0.9999924
9,8,0.99999964
2,2,1.0
2,1,0.9979571
5,4,0.99996614
3,3,1.0
9,9,0.9999999
9,9,0.98886406
4,4,0.96440846
0,0,0.9077345
3,6,0.9998288
0,0,1.0
0,8,0.9999988
9,1,0.9999989
8,8,1.0
1,1,1.0
5,3,0.8458387
7,3,0.9999999
0,0,0.96751684
8,8,0.99999654
2,3,0.89663684
4,4,1.0
7,7,1.0
0,2,0.9393008
2,3,0.8828514
3,4,0.9967776
6,6,1.0
3,3,0.999998
8,8,1.0
5,2,0.9997311
0,0,0.9999999
3,2,0.7792802
4,4,0.7566355
3,5,0.999995
9,8,0.9982551
0,0,0.9945451
6,6,0.9997904
1,1,1.0
0,9,0.9999143
9,9,1.0
1,1,1.0
0,8,0.9986895
7,7,1.0
9,9,0.99842936
1,1,1.0
2,2,1.0
6,6,1.0
9,1,0.9999976
3,3,0.9999894
4,4,0.8695301
6,6,1.0
0,0,1.0
0,0,1.0
6,6,1.0
6,6,1.0
6,6,0.99833196
3,3,0.9883739
2,1,0.63840824
6,6,0.99999726
1,0,0.8943157
8,0,0.9706993
2,2,0.99999976
1,1,0.99970347
6,4,0.96780384
8,8,0.99997973
6,6,1.0
8,0,0.97285235
0,2,0.9525867
4,5,0.97047025
0,0,1.0
7,7,0.95438325
7,7,0.78419495
5,5,0.9999968
5,5,0.9999646
3,3,0.9717368
5,5,0.86864865
2,2,0.9386209
3,2,0.9934587
4,5,0.6892127
1,1,0.9999999
7,4,0.9926006
5,5,1.0
4,4,1.0
6,6,1.0
1,1,1.0
9,9,1.0
3,2,0.45044115
6,6,1.0
6,6,1.0
9,9,0.99999917
3,6,0.999765
8,8,0.9954515
0,0,1.0
7,7,0.9999993
2,4,0.9999963
6,6,0.9999974
2,0,0.6657069
5,5,0.98758566
8,8,0.9986547
5,5,1.0
4,4,0.999998
6,6,1.0
8,8,1.0
9,9,1.0
9,9,1.0
1,1,1.0
0,8,0.9998946
2,2,0.9996068
2,6,0.9998373
7,4,0.9926951
3,2,0.761083
2,2,0.76577604
8,8,0.9335606
0,0,0.99833703
9,9,0.9999993
5,5,0.9994814
8,8,1.0
1,8,0.50606245
9,9,1.0
4,7,0.9845147
1,0,0.9291665
3,4,0.99999964
8,0,0.99935883
1,1,0.9999999
4,2,0.99269027
7,7,1.0
9,9,1.0
4,4,0.99971086
2,2,1.0
7,7,0.9999963
0,4,0.9853946
7,7,0.9999455
0,4,0.99627316
6,6,1.0
6,6,1.0
9,9,0.9985695
0,0,1.0
9,0,1.0
2,5,0.9928047
8,0,1.0
7,7,1.0
2,2,1.0
2,2,0.92375517
5,5,1.0
1,1,1.0
2,0,1.0
6,6,1.0
2,2,1.0
9,9,1.0
6,6,1.0
2,3,0.9991196
3,3,0.99991786
0,0,1.0
3,8,0.99317414
9,9,1.0
8,1,0.99970144
7,7,0.99998736
8,8,0.9988619
8,8,0.9999999
4,4,0.9900684
0,0,1.0
1,1,0.6018697
8,8,1.0
2,3,0.976504
7,5,0.9997385
9,8,0.9697862
3,5,0.9982455
6,6,1.0
1,1,0.9017149
9,9,1.0
0,0,1.0
7,5,0.87892604
3,5,0.99969447
7,7,0.9816522
4,4,0.9999999
5,5,0.5536648
0,2,0.9500913
0,0,0.99999475
2,2,0.99999964
9,9,1.0
3,3,0.9999995
4,3,0.9721733
0,6,0.9999999
6,6,0.92775536
2,3,0.9948449
5,5,0.97710687
3,3,0.99999905
7,7,0.6658285
3,7,0.99754286
7,7,1.0
2,2,0.99546117
5,2,0.9924992
3,5,0.6655995
1,6,1.0
1,1,0.99999785
4,4,0.9369279
9,9,1.0
9,8,0.9984328
5,5,0.89799756
7,7,0.8587804
5,5,0.963541
0,0,1.0
2,2,0.98951894
2,2,0.9998313
2,6,0.9999852
9,9,0.9467891
7,5,0.9889071
3,3,0.95515937
9,9,1.0
4,4,0.99845386
3,4,0.99995303
5,4,0.9987317
4,4,0.95416754
6,2,0.9980927
5,5,0.9944442
6,6,0.99980706
1,6,0.79976296
4,5,0.5389919
3,3,0.999998
4,4,1.0
4,7,0.85177976
3,3,0.9999926
7,7,1.0
8,8,0.9658711
3,5,0.93839926
7,7,0.99999976
8,8,1.0
0,8,0.99999976
5,5,0.9923692
7,7,0.9982679
6,6,0.90027153
0,0,0.81002635
5,5,0.970565
4,2,0.9959359
8,9,0.71065
6,6,1.0
8,8,1.0
5,5,0.67357445
5,5,0.9999833
9,4,0.7761628
9,9,1.0
9,9,1.0
5,3,0.98472494
0,2,0.6503538
1,1,0.99999976
0,0,0.999997
8,0,0.7195393
1,1,1.0
1,8,0.9906386
8,8,0.9999927
0,0,1.0
2,5,1.0
2,2,1.0
0,0,1.0
4,4,1.0
6,6,1.0
5,5,0.99632734
4,4,0.9999987
9,9,1.0
4,4,1.0
7,7,0.9999546
9,9,0.9999999
9,2,0.9999422
4,4,0.9999993
5,5,0.99940205
6,6,1.0
6,6,1.0
1,9,0.9991961
5,5,1.0
3,3,0.98340535
8,8,1.0
9,9,1.0
5,3,0.9999039
8,8,1.0
5,5,0.9999434
7,7,1.0
0,0,0.99984014
7,7,0.9998604
0,0,1.0
5,6,0.684782
0,4,0.81297934
0,0,1.0
4,4,0.99681914
6,6,0.99890995
9,9,0.995248
0,5,0.4755631
9,1,0.9999759
5,5,0.9994823
6,6,1.0
6,6,1.0
6,6,0.99996305
2,6,0.5220139
9,8,0.99876297
0,0,0.9999999
1,9,0.99659544
7,7,0.9999999
6,6,1.0
7,7,1.0
5,5,1.0
9,9,1.0
1,1,1.0
6,6,1.0
2,6,1.0
5,5,0.9993855
5,2,0.9972574
5,3,0.9039257
8,9,0.9617139
5,5,0.99951756
9,9,1.0
4,4,0.99999905
6,2,0.80947286
4,4,0.9999484
