true,pred,true_confidence,pred_confidence
3,3,0.541989,0.541989
8,1,0.447298,0.455258
8,8,0.420279,0.420279
0,0,0.589084,0.589084
6,6,0.424108,0.424108
6,6,0.624948,0.624948
1,1,0.454583,0.454583
6,6,0.569526,0.569526
3,3,0.452236,0.452236
1,1,0.818014,0.818014
0,4,0.157921,0.245935
9,9,0.668386,0.668386
5,5,0.337014,0.337014
7,7,0.927492,0.927492
9,9,0.670237,0.670237
8,6,0.0420787,0.521979
5,3,0.349982,0.595682
7,3,0.258589,0.300804
8,8,0.478835,0.478835
6,6,0.458028,0.458028
7,7,0.744752,0.744752
0,0,0.841239,0.841239
4,0,0.139558,0.324005
9,9,0.633144,0.633144
5,7,0.0812131,0.3545
2,2,0.347244,0.347244
4,4,0.348993,0.348993
0,2,0.0331493,0.286265
9,1,0.285169,0.377935
6,6,0.658359,0.658359
6,3,0.231372,0.249462
5,5,0.40314,0.40314
4,3,0.184055,0.245976
5,3,0.229924,0.392245
9,9,0.445725,0.445725
2,3,0.0594644,0.493462
4,5,0.157199,0.342244
1,1,0.693843,0.693843
9,9,0.689728,0.689728
5,3,0.269807,0.423753
4,9,0.0231976,0.323392
6,6,0.586507,0.586507
5,5,0.428589,0.428589
6,6,0.695344,0.695344
0,8,0.237147,0.723408
9,9,0.376031,0.376031
3,5,0.378041,0.428459
9,7,0.0442704,0.25782
7,4,0.274679,0.416466
6,4,0.285399,0.367637
9,9,0.463271,0.463271
8,8,0.32999,0.32999
0,6,0.00297705,0.537558
3,5,0.327308,0.388046
8,8,0.84828,0.84828
8,8,0.48511,0.48511
7,5,0.320121,0.465779
7,3,0.140436,0.169813
4,3,0.0672096,0.435016
6,5,0.0415483,0.386518
7,7,0.542696,0.542696
3,5,0.300472,0.34514
6,7,0.0707226,0.392758
3,0,0.0983293,0.324448
6,6,0.389146,0.389146
2,3,0.175365,0.236305
1,1,0.42412,0.42412
2,0,0.150077,0.653607
3,5,0.403119,0.447479
7,7,0.418701,0.418701
2,2,0.227253,0.227253
6,6,0.32321,0.32321
8,8,0.717851,0.717851
8,8,0.831742,0.831742
0,9,0.248919,0.461887
2,4,0.220573,0.276969
9,8,0.0632823,0.21863
3,3,0.513463,0.513463
3,5,0.245481,0.630494
8,8,0.520871,0.520871
8,8,0.69513,0.69513
1,1,0.86606,0.86606
1,1,0.652857,0.652857
7,5,0.0645834,0.498703
2,3,0.240952,0.318357
5,7,0.022469,0.642755
2,2,0.285983,0.285983
