true,pred,true_confidence,pred_confidence
3,3,0.519344,0.519344
8,1,0.330877,0.569335
8,8,0.610957,0.610957
0,8,0.477451,0.489268
6,6,0.283698,0.283698
6,6,0.367987,0.367987
1,1,0.405367,0.405367
6,6,0.458579,0.458579
3,3,0.473478,0.473478
1,1,0.783166,0.783166
0,8,0.262893,0.267783
9,9,0.744986,0.744986
5,5,0.361897,0.361897
7,7,0.607855,0.607855
9,9,0.696423,0.696423
8,6,0.161065,0.40225
5,5,0.556952,0.556952
7,3,0.259552,0.26051
8,8,0.514809,0.514809
6,6,0.39322,0.39322
7,7,0.646601,0.646601
0,0,0.907123,0.907123
4,0,0.163067,0.280848
9,9,0.774783,0.774783
5,7,0.0731753,0.316917
2,4,0.140728,0.400119
4,4,0.418241,0.418241
0,2,0.0355552,0.394963
9,9,0.422541,0.422541
6,6,0.543246,0.543246
6,6,0.369363,0.369363
5,5,0.394056,0.394056
4,3,0.114949,0.266711
5,3,0.229085,0.306463
9,9,0.55475,0.55475
2,3,0.0457767,0.481769
4,5,0.181423,0.299441
1,1,0.665526,0.665526
9,9,0.831428,0.831428
5,3,0.315292,0.407876
4,8,0.00573492,0.41229
6,6,0.682157,0.682157
5,5,0.428114,0.428114
6,6,0.842036,0.842036
0,8,0.374481,0.531441
9,9,0.371581,0.371581
3,3,0.423205,0.423205
9,7,0.0952348,0.371451
7,4,0.316422,0.469498
6,4,0.308244,0.39955
9,9,0.297279,0.297279
8,8,0.388682,0.388682
0,6,0.00263307,0.563761
3,3,0.371147,0.371147
8,8,0.91069,0.91069
8,8,0.430855,0.430855
7,5,0.187259,0.598517
7,3,0.0626849,0.270073
4,3,0.0668917,0.397505
6,3,0.0622407,0.350989
7,7,0.641629,0.641629
3,3,0.385478,0.385478
6,7,0.0476804,0.325617
3,0,0.0591791,0.372526
6,6,0.482094,0.482094
2,6,0.203088,0.340427
1,1,0.376409,0.376409
2,0,0.047057,0.588149
3,5,0.36246,0.410275
7,7,0.351769,0.351769
2,2,0.225934,0.225934
6,6,0.421166,0.421166
8,8,0.645292,0.645292
8,8,0.893339,0.893339
0,9,0.182548,0.393489
2,4,0.283259,0.31723
9,8,0.0856711,0.407905
3,3,0.375111,0.375111
3,5,0.3228,0.541966
8,8,0.625359,0.625359
8,8,0.738282,0.738282
1,1,0.751773,0.751773
1,1,0.847347,0.847347
7,5,0.0922648,0.449383
2,3,0.161084,0.286368
5,7,0.0320931,0.432319
2,2,0.272549,0.272549
7,8,0.032615,0.356555
8,9,0.0604715,0.43756
9,9,0.523605,0.523605
0,8,0.244261,0.664259
3,3,0.217788,0.217788
8,8,0.794832,0.794832
6,2,0.250324,0.419095
4,4,0.328255,0.328255
6,6,0.5974,0.5974
6,6,0.895205,0.895205
0,0,0.441272,0.441272
0,3,0.0809876,0.423267
7,7,0.328967,0.328967
4,3,0.0954868,0.395813
5,5,0.308397,0.308397
6,3,0.192647,0.435254
3,3,0.394153,0.394153
1,1,0.769667,0.769667
1,8,0.288656,0.503593
3,8,0.194759,0.230545
6,6,0.79567,0.79567
8,5,0.00911041,0.514437
7,5,0.0346366,0.736788
4,5,0.159535,0.339577
0,0,0.669609,0.669609
6,6,0.355082,0.355082
2,2,0.270902,0.270902
1,1,0.509909,0.509909
3,7,0.193487,0.29633
0,0,0.583363,0.583363
4,7,0.0316754,0.443532
2,3,0.0743373,0.379382
7,5,0.335735,0.442984
8,8,0.48915,0.48915
3,3,0.30953,0.30953
1,1,0.366391,0.366391
2,4,0.330153,0.379138
8,8,0.498125,0.498125
0,0,0.223684,0.223684
