true,pred,true_confidence,pred_confidence
3,3,0.609515,0.609515
8,1,0.395889,0.495503
8,8,0.458464,0.458464
0,0,0.474804,0.474804
6,6,0.344428,0.344428
6,3,0.285362,0.344192
1,3,0.140882,0.39751
6,4,0.204304,0.382527
3,5,0.401995,0.474979
1,1,0.741199,0.741199
0,0,0.265691,0.265691
9,9,0.541559,0.541559
5,5,0.317431,0.317431
7,7,0.85434,0.85434
9,9,0.481435,0.481435
8,0,0.13825,0.197649
5,5,0.479938,0.479938
7,7,0.289251,0.289251
8,8,0.462194,0.462194
6,4,0.139379,0.348043
7,7,0.863913,0.863913
0,0,0.928956,0.928956
4,2,0.162721,0.36911
9,9,0.53679,0.53679
5,2,0.0990997,0.290909
2,2,0.48779,0.48779
4,4,0.352584,0.352584
0,7,0.0351409,0.452211
9,9,0.406319,0.406319
6,6,0.489043,0.489043
6,3,0.211494,0.385828
5,5,0.330433,0.330433
4,3,0.217253,0.263993
5,3,0.151488,0.367166
9,9,0.447402,0.447402
2,3,0.0558479,0.490975
4,5,0.205766,0.255566
1,1,0.748039,0.748039
9,9,0.700336,0.700336
5,3,0.354281,0.439031
4,9,0.00989761,0.296739
6,6,0.83508,0.83508
5,5,0.434383,0.434383
6,6,0.602101,0.602101
0,8,0.239278,0.687202
9,1,0.204293,0.294008
3,3,0.426891,0.426891
9,7,0.0609316,0.366948
7,4,0.230834,0.439272
6,4,0.291924,0.385428
9,9,0.482127,0.482127
8,8,0.264225,0.264225
0,6,0.00751038,0.329234
3,5,0.260736,0.319466
8,8,0.823818,0.823818
8,8,0.443536,0.443536
7,5,0.281942,0.5405
7,1,0.0861615,0.298119
4,3,0.0745967,0.348638
6,5,0.0262672,0.386953
7,7,0.833855,0.833855
3,5,0.325557,0.346586
6,7,0.0930567,0.289892
3,0,0.0326106,0.402471
6,6,0.214385,0.214385
2,2,0.259995,0.259995
1,1,0.390412,0.390412
2,0,0.0395765,0.715694
3,5,0.344081,0.493922
7,7,0.309801,0.309801
2,2,0.213409,0.213409
6,6,0.188947,0.188947
8,8,0.607563,0.607563
8,8,0.709935,0.709935
0,9,0.227669,0.413489
2,2,0.363212,0.363212
9,9,0.239514,0.239514
3,3,0.436289,0.436289
3,5,0.345913,0.472952
8,8,0.461968,0.461968
8,8,0.583782,0.583782
1,1,0.913871,0.913871
1,1,0.656791,0.656791
7,5,0.0649576,0.511313
2,3,0.202371,0.220512
5,7,0.038882,0.442727
2,2,0.347097,0.347097
7,8,0.0237992,0.375498
8,3,0.0592954,0.217561
9,1,0.350274,0.487732
0,8,0.384262,0.527348
3,2,0.18433,0.25153
8,8,0.76157,0.76157
6,2,0.271205,0.354518
4,2,0.281784,0.307136
6,6,0.57741,0.57741
6,6,0.857694,0.857694
0,0,0.374002,0.374002
0,3,0.136461,0.248248
7,3,0.23751,0.24793
4,3,0.115408,0.395548
5,5,0.360421,0.360421
6,3,0.124645,0.413586
3,3,0.307564,0.307564
1,1,0.673756,0.673756
1,8,0.276589,0.472683
3,3,0.230107,0.230107
6,6,0.748535,0.748535
8,5,0.024729,0.412812
7,5,0.0520213,0.78032
4,5,0.145241,0.376652
0,0,0.768346,0.768346
6,2,0.323507,0.33216
2,2,0.333487,0.333487
1,1,0.587306,0.587306
3,7,0.204636,0.273208
0,0,0.514367,0.514367
4,5,0.0531485,0.324567
2,3,0.122372,0.422387
7,5,0.240588,0.492321
8,8,0.60924,0.60924
3,7,0.155851,0.50473
1,1,0.450189,0.450189
2,2,0.459826,0.459826
8,0,0.218726,0.488545
0,8,0.166625,0.308737
8,0,0.277572,0.287268
3,3,0.460919,0.460919
5,3,0.105792,0.375867
2,3,0.176615,0.220398
4,4,0.39011,0.39011
1,9,0.178153,0.308856
8,9,0.224371,0.534275
9,9,0.837565,0.837565
1,3,0.165833,0.263983
2,3,0.142788,0.294058
9,7,0.409605,0.424814
7,3,0.179687,0.182597
2,4,0.317092,0.396376
9,8,0.0075094,0.627787
6,3,0.0846216,0.285877
5,5,0.68163,0.68163
6,3,0.280987,0.308372
3,5,0.21621,0.49478
8,1,0.403616,0.462487
7,7,0.233349,0.233349
6,3,0.197249,0.417871
2,5,0.0897472,0.233238
5,5,0.591753,0.591753
2,5,0.0182764,0.592369
8,1,0.0960083,0.711757
9,9,0.388898,0.388898
6,3,0.172569,0.230465
0,0,0.510799,0.510799
0,0,0.334094,0.334094
5,5,0.378242,0.378242
2,3,0.089985,0.432472
9,9,0.445067,0.445067
5,3,0.376124,0.458103
4,7,0.233753,0.320053
2,2,0.379869,0.379869
1,1,0.67702,0.67702
6,3,0.141882,0.312717
6,4,0.109303,0.416795
8,8,0.563803,0.563803
4,7,0.185837,0.489115
8,8,0.518708,0.518708
4,4,0.379238,0.379238
5,7,0.10086,0.706992
0,0,0.385574,0.385574
9,9,0.474215,0.474215
9,6,0.266147,0.436293
9,8,0.0605856,0.236635
8,0,0.188223,0.665792
9,1,0.40757,0.440443
9,9,0.660377,0.660377
3,4,0.135893,0.28777
7,7,0.494397,0.494397
5,5,0.404614,0.404614
0,9,0.24976,0.377787
0,0,0.274625,0.274625
5,7,0.314335,0.398826
2,6,0.128345,0.348607
2,2,0.259766,0.259766
3,5,0.210202,0.309426
8,8,0.611953,0.611953
6,6,0.356175,0.356175
3,3,0.359933,0.359933
4,3,0.0516819,0.328466
0,0,0.710543,0.710543
5,5,0.307721,0.307721
8,3,0.11212,0.385178
0,0,0.248017,0.248017
1,3,0.162163,0.374956
7,5,0.216341,0.23596
2,4,0.210021,0.323216
8,3,0.0505309,0.362779
8,3,0.0859808,0.42311
7,3,0.297943,0.299605
8,8,0.366108,0.366108
5,3,0.239114,0.390119
1,0,0.10698,0.625269
8,8,0.428355,0.428355
7,7,0.298944,0.298944
1,9,0.217876,0.283582
3,3,0.467937,0.467937
0,8,0.306355,0.569156
5,5,0.301227,0.301227
7,7,0.424632,0.424632
