true,pred,true_confidence,pred_confidence
3,3,0.964664,0.964664
8,1,0.488941,0.511058
8,8,0.699106,0.699106
0,8,0.000503676,0.613746
6,4,0.209249,0.692382
6,6,0.912439,0.912439
1,1,0.973308,0.973308
6,6,0.651015,0.651015
3,5,0.230764,0.768476
1,1,0.997569,0.997569
0,0,0.849748,0.849748
9,1,0.2411,0.758815
5,6,0.18827,0.46598
7,1,0.0120195,0.805269
9,1,0.000446076,0.998731
8,8,0.949917,0.949917
5,5,0.973093,0.973093
7,5,0.244939,0.382856
8,8,0.984085,0.984085
6,6,0.959792,0.959792
7,7,0.841742,0.841742
0,0,0.999849,0.999849
4,0,8.70423e-13,0.890801
9,1,0.100957,0.899043
5,7,0.0154709,0.598373
2,6,0.0414427,0.88013
4,6,0.070509,0.805468
0,7,0.00126267,0.97728
9,1,0.0216516,0.978293
6,6,0.979517,0.979517
6,6,0.478484,0.478484
5,3,0.357178,0.542795
4,3,0.0465477,0.525984
5,3,0.0244064,0.804986
9,9,0.972182,0.972182
2,1,0.0042976,0.604989
4,3,0.00248924,0.443059
1,1,0.993391,0.993391
9,9,0.736902,0.736902
5,3,0.434062,0.565467
4,9,5.43176e-18,0.845255
6,6,0.998538,0.998538
5,7,0.171143,0.769328
6,6,0.881732,0.881732
0,8,0.00189421,0.998099
9,9,0.925327,0.925327
3,5,0.218577,0.5902
9,0,0.274,0.362917
7,6,0.00178338,0.62574
6,4,0.455351,0.530935
9,9,0.960481,0.960481
8,8,0.965235,0.965235
0,6,3.26105e-11,0.999021
3,5,0.389301,0.4048
8,8,0.998529,0.998529
8,8,0.999107,0.999107
7,5,0.0833854,0.887783
7,6,6.60002e-05,0.560736
4,3,0.00012409,0.445699
6,3,0.000133368,0.523335
7,7,0.979669,0.979669
3,5,0.297756,0.613426
6,6,0.961408,0.961408
3,9,1.29319e-06,0.854329
6,6,0.693072,0.693072
2,6,0.0228733,0.605939
1,1,0.643245,0.643245
2,0,3.8745e-07,0.79268
3,7,0.0809934,0.520563
7,9,0.329499,0.582671
2,2,0.50657,0.50657
6,6,0.954897,0.954897
8,8,0.999925,0.999925
8,8,0.999978,0.999978
0,8,9.9863e-05,0.836087
2,4,0.101543,0.722601
9,9,0.837618,0.837618
3,1,0.0596458,0.62596
3,5,0.325328,0.651887
8,8,0.983988,0.983988
8,8,0.990767,0.990767
1,1,0.999342,0.999342
1,1,0.99962,0.99962
7,5,0.00010014,0.939766
2,0,8.84174e-05,0.954821
5,7,8.38579e-09,0.981274
2,1,1.25587e-05,0.94745
7,8,1.24594e-07,0.99962
8,9,0.0126989,0.816841
9,8,0.0355874,0.757292
0,8,5.47856e-05,0.997865
3,6,0.0243228,0.954209
8,8,0.993563,0.993563
6,2,0.0951051,0.768707
4,2,0.0783495,0.594052
6,3,0.222216,0.520274
6,6,0.983163,0.983163
0,8,0.367798,0.576872
0,5,0.197092,0.450343
7,7,0.920175,0.920175
4,3,0.000121983,0.70261
5,5,0.456401,0.456401
6,6,0.724517,0.724517
3,3,0.76507,0.76507
1,1,0.999787,0.999787
1,8,0.284357,0.715641
3,1,0.056398,0.83374
6,6,0.986491,0.986491
8,5,3.36038e-06,0.946548
7,5,6.13871e-06,0.991118
4,9,6.87233e-10,0.870714
0,0,0.529629,0.529629
6,6,0.938848,0.938848
2,8,0.176096,0.746537
1,1,0.951163,0.951163
3,9,0.00768105,0.605784
0,0,0.98605,0.98605
4,7,2.08217e-06,0.936596
2,6,0.061166,0.676893
7,5,0.308594,0.668846
8,8,0.999844,0.999844
3,7,0.0735791,0.509906
1,1,0.999747,0.999747
2,4,0.2531,0.651186
8,0,0.361447,0.635937
0,8,1.0049e-05,0.935809
8,0,0.109815,0.854439
3,5,0.123247,0.871884
5,3,0.0313433,0.952797
2,7,0.226682,0.284414
4,6,0.19478,0.638157
1,9,0.198095,0.776632
8,1,0.000827919,0.98071
9,7,0.239012,0.607183
1,0,0.0614727,0.80392
2,5,0.0302627,0.535892
9,9,0.994612,0.994612
7,0,0.011723,0.943197
2,6,0.000845519,0.853176
9,8,7.68551e-08,0.999984
6,3,0.040822,0.471813
5,5,0.998747,0.998747
6,3,0.000138738,0.613989
3,1,0.00998973,0.883994
8,1,0.428635,0.571291
7,3,0.200108,0.520406
6,6,0.875575,0.875575
2,6,0.000484339,0.974015
5,5,0.711097,0.711097
2,5,4.57048e-07,0.990427
8,1,0.00289419,0.989773
9,1,0.0535527,0.946309
6,9,0.0360788,0.499487
0,1,0.276789,0.62036
0,0,0.97887,0.97887
5,6,0.203525,0.428745
2,5,0.00613018,0.673854
9,1,0.0370292,0.717355
5,5,0.49117,0.49117
4,7,6.54426e-11,0.806768
2,0,0.000156932,0.997942
1,1,0.993256,0.993256
6,1,0.000557612,0.813906
6,6,0.528841,0.528841
8,8,0.997775,0.997775
4,7,8.44878e-13,0.995765
8,8,0.98641,0.98641
4,6,0.0245279,0.955508
5,7,0.00217314,0.988833
0,8,0.00241676,0.890211
9,9,0.997396,0.997396
9,9,0.801388,0.801388
9,8,3.86241e-05,0.91057
8,8,0.827943,0.827943
9,9,0.955769,0.955769
9,9,0.988288,0.988288
3,0,0.000124016,0.617255
7,7,0.861363,0.861363
5,5,0.713867,0.713867
0,9,0.0188935,0.445972
0,8,0.00015002,0.973225
5,7,0.205963,0.756757
2,6,0.000203238,0.987269
2,2,0.646315,0.646315
3,7,0.231677,0.561864
8,8,0.985927,0.985927
6,6,0.996722,0.996722
3,3,0.720857,0.720857
4,7,7.48911e-10,0.930533
0,0,0.576283,0.576283
5,6,0.0195512,0.968965
8,5,3.19299e-05,0.507913
0,9,7.71082e-08,0.928332
1,1,0.990941,0.990941
7,3,0.287844,0.513734
2,2,0.456478,0.456478
8,3,2.78198e-06,0.597668
8,5,6.82083e-06,0.737752
7,7,0.821723,0.821723
8,8,0.759424,0.759424
5,7,0.112969,0.457336
1,8,0.0315558,0.873947
8,0,0.261349,0.701722
7,9,0.0213093,0.953204
1,1,0.930722,0.930722
3,5,0.239811,0.66293
