true,pred,true_confidence,pred_confidence
3,3,0.579152,0.579152
8,8,0.534779,0.534779
8,8,0.394678,0.394678
0,8,0.42008,0.477045
6,6,0.341335,0.341335
6,6,0.321808,0.321808
1,5,0.095262,0.377997
6,6,0.393579,0.393579
3,3,0.418984,0.418984
1,1,0.840995,0.840995
0,8,0.187823,0.293733
9,9,0.607151,0.607151
5,3,0.318234,0.350532
7,7,0.96806,0.96806
9,9,0.738975,0.738975
8,4,0.110942,0.203045
5,5,0.513659,0.513659
7,3,0.198717,0.317898
8,8,0.44253,0.44253
6,4,0.191518,0.313566
7,7,0.797583,0.797583
0,0,0.645836,0.645836
4,2,0.166988,0.389588
9,9,0.712142,0.712142
5,4,0.0889608,0.40125
2,2,0.48912,0.48912
4,4,0.407526,0.407526
0,7,0.0164858,0.384102
9,9,0.348535,0.348535
6,6,0.462528,0.462528
6,3,0.201866,0.3104
5,5,0.405486,0.405486
4,3,0.160811,0.317603
5,3,0.128918,0.366417
9,9,0.567505,0.567505
2,3,0.129798,0.547817
4,5,0.226148,0.275735
1,1,0.64585,0.64585
9,9,0.684893,0.684893
5,3,0.273113,0.504114
4,9,0.0163164,0.333519
6,6,0.715338,0.715338
5,5,0.468158,0.468158
6,6,0.555071,0.555071
0,8,0.33122,0.56848
9,9,0.357615,0.357615
3,5,0.305385,0.494465
9,5,0.0392314,0.341921
7,4,0.327973,0.46913
6,4,0.174958,0.495259
9,9,0.36977,0.36977
8,9,0.204591,0.224074
0,4,0.00772297,0.340661
3,5,0.341735,0.35691
8,8,0.778083,0.778083
8,8,0.498399,0.498399
7,5,0.41036,0.446878
7,7,0.162912,0.162912
4,3,0.111067,0.388073
6,5,0.0213523,0.384308
7,7,0.800669,0.800669
3,5,0.249991,0.351561
6,4,0.058546,0.334975
3,0,0.174375,0.263912
6,6,0.206455,0.206455
2,2,0.218732,0.218732
1,1,0.405797,0.405797
2,0,0.0409321,0.901923
3,3,0.481898,0.481898
7,7,0.424851,0.424851
2,2,0.286551,0.286551
6,4,0.11119,0.261031
8,8,0.587633,0.587633
8,8,0.785096,0.785096
0,9,0.226627,0.397054
2,2,0.326982,0.326982
9,0,0.149773,0.234023
3,3,0.603748,0.603748
3,5,0.262346,0.543188
8,8,0.685181,0.685181
8,8,0.646857,0.646857
1,1,0.932657,0.932657
1,1,0.844858,0.844858
7,5,0.177153,0.449061
2,2,0.321183,0.321183
5,7,0.033297,0.570345
2,2,0.476915,0.476915
7,0,0.0767065,0.259152
8,7,0.0767954,0.352308
9,9,0.477434,0.477434
0,0,0.506142,0.506142
3,2,0.212812,0.247281
8,8,0.710587,0.710587
6,6,0.465027,0.465027
4,4,0.317221,0.317221
6,6,0.648785,0.648785
6,6,0.888819,0.888819
0,0,0.331648,0.331648
0,2,0.0607865,0.406067
7,7,0.299101,0.299101
4,3,0.102683,0.369057
5,5,0.387879,0.387879
6,3,0.134266,0.475056
3,3,0.542533,0.542533
1,1,0.725648,0.725648
1,1,0.382436,0.382436
3,3,0.390772,0.390772
6,6,0.706289,0.706289
8,3,0.0180053,0.394144
7,5,0.0553605,0.70369
4,5,0.0494687,0.376152
0,0,0.863492,0.863492
6,2,0.182281,0.419909
2,2,0.42531,0.42531
1,1,0.567475,0.567475
3,7,0.264262,0.295658
0,0,0.540668,0.540668
4,7,0.056593,0.351996
2,3,0.207173,0.259479
7,7,0.503789,0.503789
8,0,0.402788,0.458845
3,7,0.109476,0.47529
1,1,0.554118,0.554118
2,2,0.460313,0.460313
8,0,0.219555,0.319785
0,8,0.13242,0.477078
8,8,0.355594,0.355594
3,3,0.487229,0.487229
5,3,0.0717769,0.314394
2,2,0.290701,0.290701
4,4,0.485722,0.485722
1,9,0.103854,0.514246
8,9,0.223486,0.530655
9,9,0.78861,0.78861
1,0,0.1286,0.305007
2,3,0.188041,0.327289
9,9,0.519827,0.519827
7,3,0.0943232,0.237044
2,4,0.198672,0.459111
9,8,0.00841039,0.698201
6,3,0.0688863,0.318625
5,5,0.670653,0.670653
6,3,0.237098,0.420435
3,5,0.251551,0.421032
8,8,0.425364,0.425364
7,7,0.254244,0.254244
6,3,0.100126,0.485259
2,5,0.0355055,0.360546
5,5,0.632361,0.632361
2,5,0.0293866,0.485262
8,1,0.112338,0.700695
9,1,0.24555,0.338962
6,3,0.231433,0.273338
0,0,0.35924,0.35924
0,2,0.211586,0.574999
5,3,0.339122,0.344982
2,3,0.168522,0.37013
9,9,0.435696,0.435696
5,5,0.448707,0.448707
4,7,0.230446,0.43851
2,2,0.733694,0.733694
1,1,0.497608,0.497608
6,3,0.130756,0.273222
6,2,0.0860172,0.399781
8,8,0.558086,0.558086
4,7,0.182499,0.666624
8,8,0.600719,0.600719
4,4,0.376204,0.376204
5,7,0.164074,0.700406
0,7,0.198147,0.273199
9,9,0.24419,0.24419
9,6,0.249684,0.383009
9,8,0.0760788,0.191657
8,0,0.240735,0.494199
9,9,0.544052,0.544052
9,9,0.841753,0.841753
3,4,0.181011,0.22543
7,7,0.493246,0.493246
5,5,0.409248,0.409248
0,9,0.123835,0.470053
0,8,0.230089,0.232359
5,5,0.370911,0.370911
2,6,0.161956,0.60974
2,3,0.144484,0.259372
3,7,0.10639,0.371908
8,8,0.710246,0.710246
6,6,0.310799,0.310799
3,3,0.479801,0.479801
4,3,0.0396433,0.452732
0,0,0.865348,0.865348
5,5,0.415314,0.415314
8,8,0.237522,0.237522
0,9,0.0702632,0.487821
1,7,0.167082,0.21143
7,7,0.331405,0.331405
2,4,0.174674,0.295769
8,3,0.104002,0.557347
8,3,0.130421,0.324564
7,7,0.381398,0.381398
8,8,0.355376,0.355376
5,3,0.172675,0.53552
1,0,0.145258,0.339644
8,8,0.592523,0.592523
7,7,0.441379,0.441379
1,9,0.16367,0.168645
3,3,0.481328,0.481328
0,8,0.242812,0.671411
5,5,0.327432,0.327432
7,7,0.504331,0.504331
9,8,0.0857397,0.43165
7,3,0.071223,0.344181
4,9,0.010733,0.662388
5,3,0.42954,0.430241
9,7,0.150559,0.562909
8,8,0.232717,0.232717
0,5,0.0939983,0.212957
7,7,0.244598,0.244598
9,9,0.834182,0.834182
8,8,0.36773,0.36773
2,7,0.0624739,0.540247
7,7,0.37393,0.37393
6,3,0.0861516,0.434898
9,9,0.582794,0.582794
4,5,0.0573566,0.445414
3,7,0.238793,0.436144
9,9,0.587495,0.587495
6,4,0.0585444,0.225982
4,4,0.23596,0.23596
7,3,0.0993063,0.270802
6,3,0.0898538,0.362311
5,5,0.627764,0.627764
1,1,0.887679,0.887679
5,5,0.576592,0.576592
8,1,0.243035,0.248278
8,8,0.640259,0.640259
0,0,0.956897,0.956897
4,4,0.573463,0.573463
0,9,0.0954125,0.366824
5,3,0.269981,0.570682
5,3,0.310908,0.520832
1,1,0.946385,0.946385
1,3,0.219119,0.251243
8,1,0.123131,0.425681
9,9,0.629721,0.629721
0,0,0.607478,0.607478
3,3,0.295143,0.295143
1,7,0.0253818,0.292383
9,8,0.0240206,0.424779
2,3,0.190991,0.41752
2,8,0.0681825,0.281802
5,5,0.22877,0.22877
3,3,0.613056,0.613056
9,6,0.211755,0.247936
9,9,0.50991,0.50991
4,2,0.216939,0.505569
0,0,0.199055,0.199055
3,3,0.458257,0.458257
0,0,0.749757,0.749757
0,8,0.0927491,0.618204
9,9,0.223953,0.223953
8,3,0.152492,0.379007
1,1,0.386515,0.386515
5,3,0.0846369,0.333556
7,3,0.0292245,0.505002
0,0,0.458402,0.458402
8,8,0.640294,0.640294
2,5,0.10384,0.372609
4,6,0.268977,0.28293
7,5,0.346174,0.437937
0,3,0.135724,0.294731
2,5,0.156408,0.32791
3,3,0.412848,0.412848
6,6,0.718129,0.718129
3,3,0.448835,0.448835
8,8,0.520534,0.520534
5,5,0.344469,0.344469
0,9,0.128911,0.41887
3,2,0.143474,0.32388
4,7,0.106591,0.679465
3,5,0.38002,0.506716
9,8,0.176143,0.348656
0,1,0.124297,0.549039
6,3,0.105613,0.406799
1,1,0.784252,0.784252
0,0,0.337586,0.337586
9,9,0.652354,0.652354
