true,pred,true_confidence,pred_confidence
3,3,0.5754262,0.5754262
8,1,0.33245206,0.5407625
8,8,0.45578945,0.45578945
0,8,0.26923096,0.6548944
6,6,0.30404398,0.30404398
6,6,0.48087227,0.48087227
1,1,0.35603762,0.35603762
6,2,0.30673504,0.31590557
3,5,0.37155524,0.49202973
1,1,0.53169477,0.53169477
0,0,0.29507223,0.29507223
9,9,0.5065006,0.5065006
5,5,0.33374763,0.33374763
7,7,0.60970265,0.60970265
9,1,0.35304764,0.5134547
8,0,0.15709327,0.18602242
5,3,0.45438504,0.45472738
7,3,0.24509901,0.25076878
8,8,0.4282928,0.4282928
6,5,0.16498756,0.23661263
7,7,0.7561566,0.7561566
0,0,0.94467264,0.94467264
4,2,0.13821976,0.36457774
9,1,0.34094968,0.65337443
5,2,0.15186994,0.24043319
2,2,0.36220604,0.36220604
4,4,0.32549846,0.32549846
0,7,0.023104886,0.46535894
9,1,0.4185985,0.42760798
6,6,0.563779,0.563779
6,3,0.1790783,0.33326218
5,5,0.3481405,0.3481405
4,3,0.17499228,0.26499116
5,3,0.13326883,0.39683172
9,9,0.42711043,0.42711043
2,3,0.09012671,0.39022222
4,5,0.1838371,0.28905895
1,1,0.7899982,0.7899982
9,9,0.54466474,0.54466474
5,3,0.38265067,0.39738503
4,1,0.00430805,0.35479882
6,6,0.80067563,0.80067563
5,5,0.41534618,0.41534618
6,6,0.7253792,0.7253792
0,8,0.33102897,0.49712992
9,7,0.23127073,0.27455896
3,3,0.40892622,0.40892622
9,7,0.060530577,0.4040333
7,4,0.086647876,0.42183968
6,6,0.33514413,0.33514413
9,9,0.40801337,0.40801337
8,9,0.27211997,0.2902096
0,6,0.008285924,0.3167293
3,5,0.32119742,0.35002503
8,8,0.81942976,0.81942976
8,8,0.4506277,0.4506277
7,5,0.33656442,0.47107148
7,1,0.10221267,0.41898075
4,3,0.09099395,0.32314193
6,5,0.036363486,0.34817648
7,7,0.56745386,0.56745386
3,5,0.3471791,0.39998344
6,7,0.054736238,0.3922978
3,0,0.060648248,0.35639194
6,6,0.2566775,0.2566775
2,6,0.1681098,0.28428024
1,1,0.3645265,0.3645265
2,0,0.020199617,0.70681375
3,5,0.3006754,0.54312545
7,7,0.2617406,0.2617406
2,3,0.18618226,0.20379052
6,6,0.23866946,0.23866946
8,8,0.6306109,0.6306109
8,8,0.7905458,0.7905458
0,9,0.20555279,0.47190496
2,2,0.32610846,0.32610846
9,9,0.2307947,0.2307947
3,3,0.38787293,0.38787293
3,5,0.31776124,0.47352234
8,8,0.45420477,0.45420477
8,8,0.62824154,0.62824154
1,1,0.848834,0.848834
1,1,0.64537704,0.64537704
7,5,0.07471189,0.44457918
2,3,0.20723514,0.2818111
5,7,0.0427839,0.62683874
