true,pred,true_confidence,pred_confidence
3,3,0.96466357,0.96466357
8,1,0.48894122,0.5110581
8,8,0.6991058,0.6991058
0,8,0.0005036756,0.61374617
6,4,0.20924935,0.69238144
6,6,0.91243845,0.91243845
1,1,0.97330815,0.97330815
6,6,0.65101445,0.65101445
3,5,0.23076406,0.76847523
1,1,0.9975694,0.9975694
0,0,0.84974813,0.84974813
9,1,0.24110043,0.75881433
5,6,0.18826945,0.4659798
7,1,0.012019583,0.80526847
9,1,0.00044607668,0.99873143
8,8,0.94991714,0.94991714
5,5,0.9730933,0.9730933
7,5,0.24493928,0.3828562
8,8,0.9840852,0.9840852
6,6,0.95979214,0.95979214
7,7,0.8417421,0.8417421
0,0,0.99984884,0.99984884
4,0,8.7042455e-13,0.89080137
9,1,0.10095724,0.8990423
5,7,0.015470883,0.5983735
2,6,0.04144268,0.88012975
4,6,0.07050896,0.80546767
0,7,0.0012626728,0.9772798
9,1,0.021651652,0.97829264
6,6,0.9795171,0.9795171
6,6,0.47848403,0.47848403
5,3,0.35717738,0.5427954
4,3,0.04654763,0.5259842
5,3,0.024406394,0.8049864
9,9,0.97218186,0.97218186
2,1,0.0042976053,0.60498804
4,3,0.002489238,0.44305906
1,1,0.9933909,0.9933909
9,9,0.7369019,0.7369019
5,3,0.4340623,0.5654673
4,9,5.4317423e-18,0.84525514
6,6,0.99853826,0.99853826
5,7,0.17114246,0.76932883
6,6,0.8817323,0.8817323
0,8,0.0018942127,0.9980987
9,9,0.9253272,0.9253272
3,5,0.21857685,0.5902003
9,0,0.2740006,0.36291707
7,6,0.0017833834,0.6257403
6,4,0.4553516,0.5309352
9,9,0.9604805,0.9604805
8,8,0.9652352,0.9652352
0,6,3.2610643e-11,0.99902105
3,5,0.38930088,0.4048
8,8,0.9985292,0.9985292
8,8,0.9991068,0.9991068
7,5,0.08338538,0.88778305
7,6,6.600013e-05,0.5607361
4,3,0.0001240901,0.44569883
6,3,0.0001333674,0.52333534
7,7,0.9796689,0.9796689
3,5,0.29775622,0.6134257
6,6,0.96140826,0.96140826
3,9,1.2931962e-06,0.8543293
6,6,0.6930715,0.6930715
2,6,0.022873346,0.6059389
