true,pred,true_confidence,pred_confidence
3,3,0.51934373,0.51934373
8,1,0.3308767,0.5693355
8,8,0.61095715,0.61095715
0,8,0.47745034,0.4892678
6,6,0.28369823,0.28369823
6,6,0.367987,0.367987
1,1,0.4053671,0.4053671
6,6,0.45857847,0.45857847
3,3,0.4734779,0.4734779
1,1,0.78316575,0.78316575
0,8,0.26289293,0.26778254
9,9,0.7449862,0.7449862
5,5,0.36189687,0.36189687
7,7,0.6078555,0.6078555
9,9,0.69642353,0.69642353
8,6,0.1610653,0.40224954
5,5,0.5569523,0.5569523
7,3,0.25955218,0.26051033
8,8,0.51480937,0.51480937
6,6,0.39321992,0.39321992
7,7,0.646601,0.646601
0,0,0.9071224,0.9071224
4,0,0.1630666,0.28084853
9,9,0.7747835,0.7747835
5,7,0.07317532,0.3169176
2,4,0.14072786,0.40011874
4,4,0.41824067,0.41824067
0,2,0.03555522,0.394963
9,9,0.4225409,0.4225409
6,6,0.5432456,0.5432456
6,6,0.3693628,0.3693628
5,5,0.39405644,0.39405644
4,3,0.114948794,0.26671067
5,3,0.22908533,0.30646268
9,9,0.55475044,0.55475044
2,3,0.04577677,0.48176944
4,5,0.18142277,0.2994413
1,1,0.6655263,0.6655263
9,9,0.8314281,0.8314281
5,3,0.31529176,0.40787596
4,8,0.005734913,0.41229028
6,6,0.68215704,0.68215704
5,5,0.42811367,0.42811367
6,6,0.84203595,0.84203595
0,8,0.37448138,0.53144103
9,9,0.37158075,0.37158075
3,3,0.42320544,0.42320544
9,7,0.09523478,0.371451
7,4,0.3164223,0.46949825
6,4,0.30824333,0.3995506
9,9,0.29727894,0.29727894
8,8,0.38868168,0.38868168
0,6,0.0026330685,0.5637604
3,3,0.37114656,0.37114656
8,8,0.9106904,0.9106904
8,8,0.4308554,0.4308554
7,5,0.1872584,0.59851706
7,3,0.06268496,0.27007252
4,3,0.0668917,0.3975052
6,3,0.062240746,0.35098886
7,7,0.64162934,0.64162934
3,3,0.38547787,0.38547787
6,7,0.047680426,0.32561758
3,0,0.05917911,0.37252614
6,6,0.48209366,0.48209366
2,6,0.20308849,0.34042734
1,1,0.37640902,0.37640902
2,0,0.04705691,0.5881489
3,5,0.36245996,0.41027483
